Event.ID,Disease,Serotype,Region,Subregion,Country,Admin.level.1,Locality,Latitude,Longitude,Diagnosis.source,Diagnosis.status,Animal.type,Species,Observation.date..dd.mm.yyyy.,Report.date..dd.mm.yyyy.,Humans.affected,Human.deaths
335592,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Italy,Veneto,Quinto Di Treviso,45.64515,12.165639,OIE,Confirmed,Wild,Mute Swan:cygnus Olor(Anatidae),10/11/2022,17/11/2022,,
336215,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Belgium,Vlaams Gewest,Asper,50.920828,3.659342,OIE,Confirmed,Wild,Buzzard,10/11/2022,25/11/2022,,
336382,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Belgium,Vlaams Gewest,Tyngenes fyr,50.828299,5.58311,OIE,Confirmed,Wild,Mute Swan:cygnus Olor(Anatidae),10/11/2022,28/11/2022,,
335589,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Italy,Emilia-romagna,SANT'AGATA BOLOGNESE,44.63866,11.14812,OIE,Confirmed,Wild,Buzzard,09/11/2022,17/11/2022,,
336212,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Belgium,Vlaams Gewest,Oostende,51.22773,2.903667,OIE,Confirmed,Wild,Great Black-Backed Gull (Larus Marinus),08/11/2022,25/11/2022,,
335595,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Italy,Veneto,Galliera Veneta,45.66056,11.834366,OIE,Confirmed,Wild,Mute Swan:cygnus Olor(Anatidae),07/11/2022,17/11/2022,,
336315,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Languedoc-Rousillon,Vauvert (30341),43.60941,4.338585,OIE,Confirmed,Wild,Greater Flamingo (Phoenicopterus Roseus),07/11/2022,25/11/2022,,
336316,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Bourgogne,La Chapelle-Montlinard (18049),47.16951,3.008459,OIE,Confirmed,Wild,Crane,07/11/2022,25/11/2022,,
335600,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Belgium,Vlaams Gewest,Soignies,50.91096,4.034511,OIE,Confirmed,Wild,Phasianus Colchicus (Common Pheasant) - Phasanidae,06/11/2022,17/11/2022,,
335484,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Germany,Niedersachsen,Juist,53.678,6.995,OIE,Confirmed,Wild,Accipitridae (Incognita),04/11/2022,15/11/2022,,
