"","species","freq","class","order","family","genus"
"1","Accipiter gentilis",33,"Aves","Accipitriformes","Accipitridae","Accipiter"
"2","Accipiter Gentilis",10,"Aves","Accipitriformes","Accipitridae","Accipiter"
"3","Accipiter nisus",43,"Aves","Accipitriformes","Accipitridae","Accipiter"
"4","Accipitridae",231,"Aves","Accipitriformes","Accipitridae",NA
"5","Accipitridae",212,"Aves","Accipitriformes","Accipitridae",NA
"6","Accipitridae",25,"Aves","Accipitriformes","Accipitridae",NA
"7","Aechmophorus occidentalis",3,"Aves","Podicipediformes","Podicipedidae","Aechmophorus"
"8","Aix galericulata",1,"Aves","Anseriformes","Anatidae","Aix"
"10","Alca torda",6,"Aves","Charadriiformes","Alcidae","Alca"
"11","Alcidae",2,"Aves","Charadriiformes","Alcidae",NA
"12","Alectoris rufa",1,"Aves","Galliformes","Phasianidae","Alectoris"
"13","Alle alle",2,"Aves","Charadriiformes","Alcidae","Alle"
"14","Alopochen aegyptiaca",10,"Aves","Anseriformes","Anatidae","Alopochen"
"15","Alopochen aegyptiacus",4,"Aves","Anseriformes","Anatidae","Alopochen"
"16","Anas acuta",13,"Aves","Anseriformes","Anatidae","Anas"
"17","Anas clypeata",48,"Aves","Anseriformes","Anatidae","Spatula"
"18","Anas crecca",458,"Aves","Anseriformes","Anatidae","Anas"
