species,freq,class
Dendrocopos major,2,Aves
Duck,90,Aves
Egret,6,NA
Egretta alba,27,Aves
Egretta caerulea,1,Aves
Egretta garzetta,36,Aves
Egyptian Goose (Alopochen Aegyptiacus),9,Aves
Emberiza schoeniclus,53,Aves
Emu (Dromaius Novaehollandiae),3,Aves
Eurasian Blackbird (Turdus Merula),1,Aves
Eurasian Buzzard (Common Buzzard):Buteo Buteo(Accipitridae),59,NA
Eurasian Collared Dove (Streptopelia Decaocto),3,Aves
Eurasian Coot (Fulica Atra),9,Aves
Eurasian Eagle-Owl:bubo Bubo(Strigidae),13,Aves
Eurasian Jackdaw (Coloeus Monedula),5,NA
Eurasian Oystercatcher,5,Aves
Eurasian Sparrowhawk:accipiter Nisus(Accipitridae),22,Aves
Eurasian Spoonbill (Platalea Leucorodia),3,Aves
Eurasian Tree Sparrow ,2,Aves
Eurasian Wigeon:anas Penelope(Anatidae),59,Aves
European Pine Marten,1,Mammalia
European Turtle Dove,1,NA
Falco biarmicus,1,Aves
Falco cherrug,4,Aves
Falco columbarius,3,Aves
Falco peregrinus,130,Aves
Falco rusticolus,1,Aves
Falco sparverius,1,Aves
Falco tinnunculus,40,Aves
Falco vespertinus,1,Aves
Falcon,8,NA
Falconidae (incognita),6,Aves
Falconidae fam,2,NA
Ficedula hypoleuca,17,Aves
Fox,10,NA
Fratercula arctica,159,Aves
Fringilla coelebs,1,Aves
Fulica atra,1166,Aves
Fulmarus glacialis,14,Aves
Gadwall,6,Aves
Gallinago gallinago,253,Aves
Gallinago media,71,Aves
Gallinula chloropus,260,Aves
Gallus gallus,3,Aves
Garrulus glandarius,8,Aves
Gavia immer,1,Aves
Gavia stellata,3,Aves
Gelochelidon nilotica,1,Aves
Geronticus eremita,1,Aves
Glareola pratincola,12,Aves
Glaucous Gull (Larus Hyperboreus),1,Aves
Goosander,3,NA
Goose,195,Aves
Goshawk,11,Aves
Gray Seal (Halichoerus Grypus):Phocidae-Carnivora,2,Mammalia
Great Black-Backed Gull (Larus Marinus),33,Aves
Great Black-Headed Gull (Ichthyaetus Ichthyaetus),5,Aves
Great Blue Heron,4,Aves
Great Cormorant (Phalacrocorax Carbo),32,Aves
Great Crested Grebe (Podiceps Cristatus),13,Aves
Great Crested Grebe:podiceps Cristatus(Podicipedidae),6,Aves
Great Egret (Ardea Alba),11,Aves
Great Skua (Stercorarius Skua),19,Aves
Greater Flamingo (Phoenicopterus Roseus),3,Aves
Greater Rhea (Rhea Americana),3,Aves
Greater Scaup,2,Aves
Greater White-Fronted Goose (Anser Albifrons),28,NA
Grebe,5,NA
Green Sandpiper,2,Aves
Grey Crowned Crane:balearica Regulorum(Gruidae),1,Aves
Grey Headed Gull (Chroicocephalus Cirrocephalus),10,Aves
Grey Heron:ardea Cinerea(Ardeidae),55,Aves
Greylag Goose,55,Aves
Greylag Goose:anser Anser(Anatidae),211,Aves
Griffon Vulture (Gyps Fulvus) ,5,Aves
Gruidae (Unidentified):Gruidae (Incognita)(Gruidae),3,Aves
Grus grus,13,Aves
Gull,122,Aves
Gull-Billed Tern (Gelochelidon Nilotica),1,Aves
Gypaetus barbatus,5,Aves
Gyps fulvus,12,Aves
Haematopodidae (incognita),3,Aves
Haematopodidae (Unidentified):Haematopodidae (Incognita)(Haematopodidae),2,Aves
Haematopus ostralegus,426,Aves
Halcyon malimbica,2,Aves
Haliaeetus albicilla,59,Aves
Halichoerus grypus,1,Mammalia
Harbor Seal (Phoca Vitulina):Phocidae-Carnivora,1,Mammalia
Harris's Hawk (Parabuteo Unicinctus),1,Aves
Hawk,5,NA
Heron,25,NA
Herring Gull:larus Argentatus(Laridae),243,Aves
Himantopus himantopus,27,Aves
Hirundinidae (incognita),1,Aves
Hirundo rustica,57,Aves
Hooded Crow (Corvus Cornix),7,Aves
House Sparrow,9,Aves
Hydrocoloeus minutus,4,Aves
Hydroprogne caspia,1,Aves
Ichthyaetus melanocephalus,12,Aves
Ivory Gull (Pagophila Eburnea),1,Aves
Ixobrychus minutus,16,Aves
Jackdaw,3,Aves
Jynx torquilla,1,Aves
Kite,5,NA
Lagopus muta,51,Aves
Lanius collurio,12,Aves
Lanius excubitor,1,Aves
Laridae (incognita),437,Aves
Laridae (Unidentified):Laridae (Incognita)(Laridae),397,Aves
Larus argentatus,1304,Aves
Larus argentatus cachinnans,466,Aves
Larus armenicus,57,Aves
Larus brunicephalus,14,NA
Larus cachinnans,30,Aves
Larus cachinnans cachinnans,7,Aves
Larus canus,1639,Aves
Larus fuscus,1399,Aves
Larus genei,2,Aves
Larus glaucoides,66,Aves
Larus hyperboreus,241,Aves
Larus hyperboreus x Larus argentatus,7,NA
Larus ichthyaetus,17,Aves
Larus marinus,263,Aves
Larus melanocephalus,165,Aves
Larus michahellis,3566,Aves
Larus minutus,4,Aves
Larus novaehollandiae,10,Aves
Larus ridibundus,10065,Aves
Larus scopulinus,1,Aves
Larus smithsonianus,10,Aves
Larus sp.,872,NA
Lesser Black-Backed Gull:larus Fuscus(Laridae),12,Aves
Limicola falcinellus,14,Aves
Limosa lapponica,2,Aves
Limosa limosa,5,Aves
Little Egret,3,Aves
Little Grebe:tachybaptus Ruficollis(Podicipedidae),5,Aves
Little Owl (Athene Noctua):Strigidae-Suliformes,1,Aves
Locustella luscinioides,3,Aves
Luscinia megarhynchos,2,Aves
Magpie,17,NA
Mallard:anas Platyrhynchos(Anatidae),133,Aves
Marbled Teal,1,Aves
Marmaronetta angustirostris,1,Aves
Mediterranean Gull ,20,Aves
Mergellus albellus,4,Aves
Mergus merganser,4,Aves
Mergus serrator,10,Aves
Merops apiaster,19,Aves
Mew Gull (Larus Canus),17,Aves
Microcarbo coronatus,1,Aves
Milvus milvus,14,Aves
Mink,4,Mammalia
Morus bassanus,336,Aves
Motacilla alba,10,Aves
Motacilla feldegg,2,Aves
Motacilla flava,3,Aves
Motacilla thunbergi,4,Aves
Muscicapa striata,1,Aves
Muscovy Duck:cairina Moschata(Anatidae),1,Aves
Mustela putorius,2,Mammalia
Mute Swan:cygnus Olor(Anatidae),954,Aves
Netta rufina,9,Aves
Northern Bald Ibis (Geronticus Eremita) ,1,Aves
Northern Crested Caracara (Caracara Cheriway),1,NA
"Northern Fulmar (Fulmarus Glacialis)	",2,Aves
Northern Gannet:morus Bassanus(Sulidae),204,Aves
Northern Lapwing,1,Aves
Northern Pintail (Anas Acuta),2,Aves
Northern Shoveler,1,Aves
Numenius arquata,26,Aves
Numenius phaeopus,2,Aves
Numididae (Unidentified),1,Aves
Nyctereutes Viverrinus (Japanese Racoon Dog),2,NA
Nycticorax nycticorax,19,Aves
Oenanthe oenanthe,1,Aves
Otus scops,1,Aves
Owl,29,NA
Oxyura leucocephala,6,Aves
Oyster Catcher,1,NA
Pandion haliaetus,1,Aves
Parus caeruleus,1,Aves
Parus major,2,Aves
Passer domesticus,26,Aves
Passer hispaniolensis,8,Aves
Passer montanus,2,Aves
Passeridae (incognita),4,Aves
Passeridae (Unidentified):Passeridae (Incognita)(Passeridae),5,Aves
Peacock,1,Aves
Pelecanidae (incognita),3,Aves
Pelecanidae (Unidentified):Pelecanidae (Incognita)(Pelecanidae),16,Aves
Pelecanus crispus,22,Aves
Pelecanus onocrotalus,16,Aves
Peregrin Falcon:falco Peregrinus(Falconidae),121,NA
Pernis apivorus,3,Aves
Phalacrocoracidae (incognita),12,Aves
Phalacrocorax aristotelis,35,Aves
Phalacrocorax carbo,50,Aves
Phalacrocorax pygmeus,18,Aves
Phalaropus lobatus,4,Aves
Phasianidae (incognita),9,Aves
Phasianidae (Unidentified):Phasianidae (Incognita)(Phasianidae),55,Aves
Phasianus colchicus,61,Aves
Phasianus Colchicus (Common Pheasant) - Phasanidae,22,Aves
Philomachus pugnax,61,Aves
Phoca vitulina,2,Mammalia
Phoenicopterus roseus,4,Aves
Phylloscopus sibilatrix,4,Aves
Phylloscopus trochilus,1,Aves
Pica pica,13,Aves
Pigeon,10,NA
Pink-Footed Goose (Anser Brachyrhynchus),14,Aves
Platalea leucorodia,4,Aves
Plegadis falcinellus,16,Aves
Pluvialis apricaria,18,Aves
Pluvialis squatarola,40,Aves
Pochard,3,Aves
Podiceps cristatus,25,Aves
Podiceps nigricollis,3,Aves
Podicipedidae (incognita),1,Aves
Polar Fox,7,NA
Polecat,2,NA
Porphyrio porphyrio,18,Aves
Porzana parva,40,Aves
Porzana porzana,42,Aves
Porzana pusilla,15,Aves
Puffinus puffinus,2,Aves
Pyrrhula pyrrhula,2,Aves
Rallidae (incognita),2,Aves
Rallus aquaticus,93,Aves
Razorbill (Alca Torda):Alcidae-Charadriiformes,2,Aves
Recurvirostra avosetta,1,Aves
Red-Billed Gull (Larus Scopulinus):Laridae-Charadriiformes,1,Aves
Red Fox,45,Mammalia
Red Junglefowl,2,Aves
Red Knot,2,Aves
Remiz pendulinus,26,Aves
Riparia riparia,13,Aves
Rissa tridactyla,37,Aves
Rock Dove (Columba Livia),7,Aves
Rook,8,Aves
Rose Pelican (Pelecanus Onocrotalus),1,NA
Saker Falcon (Falco Cherrug),1,Aves
Sanderling ,8,Aves
Sandwich Tern,44,Aves
Scolopacidae (incognita),4,Aves
Scolopacidae (Unidentified):Scolopacidae (Incognita)(Scolopacidae),4,Aves
Scolopax rusticola,26,Aves
Semipalmated Sandpiper,3,Aves
Serinus serinus,7,Aves
Silver Teal (Anas Versicolor) ,1,NA
Slender-Billed Gull,3,Aves
Somateria mollissima,122,Aves
South American Coati (Nasua Nasua):Procyonidae-Carnivora,1,Mammalia
Spatula querquedula,1,Aves
Spotted Dove,1,Aves
Starling,4,Aves
Stercorarius parasiticus,2,Aves
Stercorarius skua,31,Aves
Sterna albifrons,2,Aves
Sterna hirundo,222,Aves
Sterna paradisaea,157,Aves
Sterna sandvicensis,2,Aves
Stone Marten,1,NA
Stork,44,NA
Streptopelia decaocto,6,Aves
Strigidae (incognita),22,Aves
Strigidae (Unidentified):Strigidae (Incognita)(Strigidae),19,Aves
Strix aluco,16,Aves
Strix uralensis,1,Aves
Sturnus vulgaris,60,Aves
Sulidae (incognita),22,Aves
Sulids (Sulidae),18,NA
Swallow,1,NA
Swan,524,NA
Swift Tern (Thalasseus Bergii),1,NA
Sylvia atricapilla,2,Aves
Sylvia borin,1,Aves
Sylvia communis,1,Aves
Sylvia curruca,4,Aves
Sylvia hortensis,1,Aves
Tachybaptus ruficollis,23,Aves
Tadorna ferruginea,27,Aves
Tadorna tadorna,51,Aves
Tawny Owl (Strix Aluco),4,Aves
