"species","freq","class"
"Chlidonias hybrida",2,"Aves"
"Chloephaga melanoptera",2,"Aves"
"Chough",1,NA
"Chroicocephalus cirrocephalus",3,"Aves"
"Chroicocephalus maculipennis",2,"Aves"
"Chroicocephalus ridibundus",2,"Aves"
"Ciconia boyciana",1,"Aves"
"Ciconia ciconia",4,"Aves"
"Ciconiidae (Unidentified):Ciconiidae(Incognita)(Ciconiidae)",1,"Aves"
"Cinnamon Teal",2,"Aves"
"Circus cyaneus",1,"Aves"
"Civet",1,NA
"Clangula hyemalis",2,"Aves"
"Coati (Gen. Nasua)",1,NA
"Columba livia",3,"Aves"
"Common Coot",3,"Aves"
"Common Eider (Somateria Mollissima)",8,"Aves"
"Common Goldeneye:bucephala Clangula(Anatidae)",2,"Aves"
"Common Grackle",1,"Aves"
"Common Kestrel:falco Tinnunculus(Falconidae)",3,"Aves"
"Common Murre (Uria Aalge) ",10,"Aves"
"Common Pochard (Aythya Ferina)",5,"Aves"
"Common Quail:coturnix Coturnix(Phasianidae)",2,"Aves"
"Common Raccoon (Procyon Lotor)",9,NA
"Common Raven (Corvus Corax)",4,"Aves"
"Common Shelduck (Tadorna Tadorna)",3,"Aves"
"Common Tern (Sterna Hirundo)",6,"Aves"
"Condor",3,NA
"Cooper's Hawk (Accipiter Cooperii)",5,"Aves"
"Copsychus saularis",6,"Aves"
"Coragyps atratus",3,"Aves"
"Cormorant",10,"Aves"
"Corn Crake",1,"Aves"
"Corvidae (incognita)",3,"Aves"
"Corvidae (Incognita)",7,"Aves"
"Corvus brachyrhynchos",67,"Aves"
"Corvus Brachyrhynchos: (Corvidae) American Crow",10,"Aves"
"Corvus caurinus",3,"Aves"
"Corvus corax",27,"Aves"
"Corvus cornix",4,"Aves"
"Corvus corone",4,"Aves"
"Corvus frugilegus",1,"Aves"
"Corvus macrorhynchos",141,"Aves"
"Corvus ossifragus",1,"Aves"
"Corvus splendens",45,"Aves"
"Coscoroba coscoroba",6,"Aves"
"Cougar (Puma Concolor)",10,NA
"Coyote (Canis Latrans) ",1,"Mammalia"
"Crane",22,NA
"Crested Goshawk",1,"Aves"
"Crested Myna",2,"Aves"
"Crested Serpent Eagle (Spilornis Cheela)",1,"Aves"
"Crow",61,NA
"Curlew",2,NA
"Cyanocitta cristata",3,"Aves"
"Cyanoliseus patagonus",1,"Aves"
"Cygnus (incognita)",1,"Aves"
"Cygnus atratus",28,"Aves"
"Cygnus buccinator",6,"Aves"
"Cygnus columbianus",32,"Aves"
"Cygnus cygnus",125,"Aves"
"Cygnus melancoryphus",19,"Aves"
"Cygnus olor",51,"Aves"
"Dalmatian Pelican (Pelecanus Crispus)",2,"Aves"
"Dendrocygna autumnalis",1,"Aves"
"Dendrocygna bicolor",1,"Aves"
"Dendrocygna viduata",1,"Aves"
"Didelphis virginiana",2,"Mammalia"
"Double-Crested Cormorant (Nannopterum Auritum)",7,"Aves"
"Duck",89,"Aves"
"Eared Grebe",3,NA
"Eastern Buzzard:buteo Japonicus(Accipitridae)",4,NA
"Egret",2,NA
"Egretta garzetta",5,"Aves"
"Egretta intermedia",1,"Aves"
"Egretta thula",2,"Aves"
"Egyptian Goose (Alopochen Aegyptiacus)",1,"Aves"
"Enicognathus ferrugineus",1,"Aves"
"Enicognathus leptorhynchus",2,"Aves"
"Environmental",3,NA
"Eurasian Buzzard (Common Buzzard):Buteo Buteo(Accipitridae)",1,NA
"Eurasian Eagle-Owl:bubo Bubo(Strigidae)",1,"Aves"
"Eurasian Sparrowhawk:accipiter Nisus(Accipitridae)",2,"Aves"
"Eurasian Spoonbill (Platalea Leucorodia)",1,"Aves"
"Eurasian Wigeon:anas Penelope(Anatidae)",6,"Aves"
"Falco columbarius",1,"Aves"
"Falco mexicanus",1,"Aves"
"Falco peregrinus",50,"Aves"
"Falco rusticolus",4,"Aves"
"Falco sparverius",1,"Aves"
"Falco tinnunculus",6,"Aves"
"Falcon",4,NA
"Felis catus",2,"Mammalia"
"Fisher (Pekania Pennanti)",3,"Mammalia"
"Fox",13,NA
"Franklin's Gull ",1,"Aves"
"Fratercula arctica",5,"Aves"
"Fregata magnificens",1,"Aves"
"Fregatidae (incognita)",1,"Aves"
"Fulica americana",1,"Aves"
"Fulica armillata",2,"Aves"
"Fulica atra",3,"Aves"
"Fulmarus glacialis",1,"Aves"
"Gadwall",18,"Aves"
"Garrulus glandarius",1,"Aves"
"Gavia immer",1,"Aves"
"Gavia pacifica",1,"Aves"
"Gelochelidon nilotica",1,"Aves"
"Glossy Ibis ",1,NA
"Goosander",2,NA
"Goose",39,"Aves"
"Goshawk",5,"Aves"
"Gray Hawk (Buteo Plagiatus)",1,NA
"Great Black-Backed Gull (Larus Marinus)",21,"Aves"
