"","species","freq","class","order","family","genus"
"134","Common Shelduck","10","Aves","Anseriformes","Anatidae","Tadorna"
"135","Common Snipe","1","Aves","Charadriiformes","Scolopacidae","Gallinago"
"136","Common Tern","96","Aves","Charadriiformes","Laridae","Sterna"
"137","Common Wood-Pigeon","7","Aves","Columbiformes","Columbidae","Columba"
"138","Cormorant","17","Aves","Suliformes","Phalacrocoracidae","Phalacrocorax"
"139","Corvidae","21","Aves","Passeriformes","Corvidae",NA
"140","Corvidae","5","Aves","Passeriformes","Corvidae",NA
"141","Corvus corax","18","Aves","Passeriformes","Corvidae","Corvus"
"142","Corvus cornix","11","Aves","Passeriformes","Corvidae","Corvus"
"143","Corvus corone","10","Aves","Passeriformes","Corvidae","Corvus"
"144","Corvus frugilegus","8","Aves","Passeriformes","Corvidae","Corvus"
"145","Corvus monedula","18","Aves","Passeriformes","Corvidae","Coloeus"
"146","Coscoroba coscoroba","1","Aves","Anseriformes","Anatidae","Coscoroba"
"147","Coturnix coturnix","2","Aves","Galliformes","Phasianidae","Coturnix"
"148","Coturnix japonica","1","Aves","Galliformes","Phasianidae","Coturnix"
"149","Crane","76","Aves","Gruiiformes","Gruoidae",""
"150","Crow","35","Aves","Passeriformes","Corvidae",""
"151","Crowned Cormorant","1","Aves","Suliformes","Phalacrocoracidae","Microcarbo"
"152","Curlew","19","Aves","Charadriiformes","Scolopacidae","Numenius"
"153","Cygnus","216","Aves","Anseriformes","Anatidae","Cygnus"
"154","Cygnus atratus","15","Aves","Anseriformes","Anatidae","Cygnus"
"155","Cygnus bewickii","2","Aves","Anseriformes","Anatidae","Cygnus"
"156","Cygnus columbianus","2","Aves","Anseriformes","Anatidae","Cygnus"
"157","Cygnus cygnus","276","Aves","Anseriformes","Anatidae","Cygnus"
"158","Cygnus olor","1577","Aves","Anseriformes","Anatidae","Cygnus"
"159","Dalmatian Pelican","18","Aves","Pelecaniformes","Pelecanidae","Pelecanus"
"160","Dendrocopos major","2","Aves","Piciformes","Picidae","Dendrocopos"
"161","Dendrocygna eytoni","1","Aves","Anseriformes","Anatidae","Dendrocygna"
"162","Diopsittaca nobilis","1","Aves","Psittaciformes","Psittacidae","Diopsittaca"
"163","Dromaiidae","1","Aves","Casuariiformes","Dromaiidae",NA
"164","Dromaius novaehollandiae","2","Aves","Casuariiformes","Dromaiidae","Dromaius"
"165","Duck","90","Aves","Anseriformes","Anatidae","Anas"
"166","Egret","6","Aves","Pelecaniformes","Ardeidae",""
"167","Egretta caerulea","1","Aves","Pelecaniformes","Ardeidae","Egretta"
"168","Egretta garzetta","9","Aves","Pelecaniformes","Ardeidae","Egretta"
"169","Egyptian Goose","9","Aves","Anseriformes","Anatidae","Alopochen"
"170","Emu","3","Aves","Casuariiformes","Dromaiidae","Dromaius"
"171","Eurasian Blackbird","1","Aves","Passeriformes","Turdidae","Turdus"
"172","Eurasian Buzzard","76","Aves","Accipitriformes","Accipitridae","Buteo"
"173","Eurasian Collared Dove","3","Aves","Columbiformes","Columbidae","Streptopelia"
"174","Eurasian Coot","9","Aves","Gruiformes","Rallidae","Fulica"
"175","Eurasian Eagle-Owl","17","Aves","Strigiformes","Strigidae","Bubo"
"176","Eurasian Jackdaw","6","Aves","Passeriformes","Corvidae","Coloeus"
"177","Eurasian Oystercatcher","8","Aves","Charadriiformes","Haematopodidae","Haematopus"
"178","Eurasian Sparrowhawk","30","Aves","Accipitriformes","Accipitridae","Accipiter"
"179","Eurasian Spoonbill","3","Aves","Pelecaniformes","Threskiornithidae","Platalea"
"180","Eurasian Tree Sparrow","2","Aves","Passeriformes","Passeridae","Passer"
"181","Eurasian Wigeon","67","Aves","Anseriformes","Anatidae","Mareca"
"182","European Turtle Dove","1","Aves","Columbiformes","Columbidae","Sreptopelia"
"183","Falco biarmicus","1","Aves","Falconiformes","Falconidae","Falco"
"184","Falco cherrug","3","Aves","Falconiformes","Falconidae","Falco"
"185","Falco columbarius","2","Aves","Falconiformes","Falconidae","Falco"
"186","Falco peregrinus","185","Aves","Falconiformes","Falconidae","Falco"
"187","Falco rusticolus","2","Aves","Falconiformes","Falconidae","Falco"
"188","Falcorverius","1","Aves",NA,NA,NA
"189","Falco subbuteo","1","Aves","Falconiformes","Falconidae","Falco"
"190","Falco tinnunculus","48","Aves","Falconiformes","Falconidae","Falco"
"191","Falco vespertinus","1","Aves","Falconiformes","Falconidae","Falco"
"192","Falcon","10","Aves","Falconiformes","Falconidae","Falco"
"193","Falconidae","9","Aves","Falconiformes","Falconidae",NA
"194","Fratercula arctica","6","Aves","Charadriiformes","Alcidae","Fratercula"
"195","Fringilla coelebs","2","Aves","Passeriformes","Fringillidae","Fringilla"
"196","Fulica atra","15","Aves","Gruiformes","Rallidae","Fulica"
"197","Fulmarus glacialis","9","Aves","Procellariiformes","Procellariidae","Fulmarus"
"198","Gadwall","7","Aves","Anseriformes","Anatidae","Mareca"
"199","Galliformes","1","Aves","Galliformes",NA,NA
"200","Gallinago gallinago","1","Aves","Charadriiformes","Scolopacidae","Gallinago"
"201","Gallinula chloropus","12","Aves","Gruiformes","Rallidae","Gallinula"
"202","Gallus gallus","3","Aves","Galliformes","Phasianidae","Gallus"
"203","Garrulus glandarius","2","Aves","Passeriformes","Corvidae","Garrulus"
"204","Gavia immer","1","Aves","Gaviiformes","Gaviidae","Gavia"
"205","Gavia stellata","2","Aves","Gaviiformes","Gaviidae","Gavia"
"206","Gelochelidon nilotica","2","Aves","Charadriiformes","Laridae","Gelochelidon"
"207","Geronticus eremita","1","Aves","Pelecaniformes","Threskiornithidae","Geronticus"
"208","Glaucous Gull","1","Aves","Charadriiformes","Laridae","Larus"
"209","Goosander","3","Aves","Anseriformes","Anatidae","Mergus"
"210","Goose","196","Aves","Anseriformes","Anatidae","Anser"
"211","Goshawk","13","Aves","Accipitriformes","Accipitridae","Accipiter"
