"","common_name","common_code","sci_name","sci_code"
"99","Willow Ptarmigan","wilpta","Lagopus lagopus","wilpta"
"100","Rock Ptarmigan","rocpta1","Lagopus muta","rocpta1"
"101","Black Grouse","blagro1","Lyrurus tetrix","blagro1"
"102","Gray Partridge","grypar","Perdix perdix","grypar"
"103","Ring-necked Pheasant",NA,"Phasianus colchicus",NA
"104","Swinhoe's Pheasant","swiphe1","Lophura swinhoii","swiphe1"
"105","Kalij Pheasant","kalphe","Lophura leucomelanos","kalphe"
"106","Indian Peafowl","compea","Pavo cristatus","compea"
"107","Red Junglefowl","redjun","Gallus gallus","redjun"
"108","Black Francolin","blkfra","Francolinus francolinus","blkfra"
"109","Common Quail","comqua1","Coturnix coturnix","comqua1"
"110","Red-legged Partridge","relpar1","Alectoris rufa","relpar1"
"111","Chukar","chukar","Alectoris chukar","chukar"
"112","Chilean Flamingo","chifla1","Phoenicopterus chilensis","chifla1"
"113","American Flamingo","grefla2","Phoenicopterus ruber","grefla2"
"114","Little Grebe","litgre1","Tachybaptus ruficollis","litgre1"
"115","Pied-billed Grebe","pibgre","Podilymbus podiceps","pibgre"
"116","Horned Grebe","horgre","Podiceps auritus","horgre"
"117","Red-necked Grebe","rengre","Podiceps grisegena","rengre"
"118","Great Crested Grebe","grcgre1","Podiceps cristatus","grcgre1"
"119","Eared Grebe","eargre","Podiceps nigricollis","eargre"
"120","Rock Pigeon","rocpig","Columba livia","rocpig"
"121","Speckled Pigeon","spepig1","Columba guinea","spepig1"
"122","Stock Dove","stodov1","Columba oenas","stodov1"
"123","Common Wood-Pigeon","cowpig1","Columba palumbus","cowpig1"
"124","European Turtle-Dove","eutdov","Streptopelia turtur","eutdov"
"125","Oriental Turtle-Dove","ortdov","Streptopelia orientalis","ortdov"
"126","Eurasian Collared-Dove","eucdov","Streptopelia decaocto","eucdov"
"127","Red Collared-Dove","recdov1","Streptopelia tranquebarica","recdov1"
"128","Crested Pigeon",NA,"Ocyphaps lophotes",NA
"129","Ruddy Ground Dove","rugdov","Columbina talpacoti","rugdov"
"130","Mourning Dove","moudov","Zenaida macroura","moudov"
"131","Black-bellied Sandgrouse","blbsan1","Pterocles orientalis","blbsan1"
"132","Great Spotted Cuckoo","grscuc1","Clamator glandarius","grscuc1"
"133","Yellow-billed Cuckoo","yebcuc","Coccyzus americanus","yebcuc"
"134","Black-billed Cuckoo","bkbcuc","Coccyzus erythropthalmus","bkbcuc"
"135","Common Cuckoo","comcuc","Cuculus canorus","comcuc"
"136","Oriental Cuckoo","oricuc2","Cuculus optatus","oricuc2"
"137","Common Nighthawk","comnig","Chordeiles minor","comnig"
"138","Red-necked Nightjar","rennig1","Caprimulgus ruficollis","rennig1"
"139","Eurasian Nightjar","eurnig1","Caprimulgus europaeus","eurnig1"
"140","Chimney Swift","chiswi","Chaetura pelagica","chiswi"
"141","White-throated Needletail","whtnee","Hirundapus caudacutus","whtnee"
"142","Alpine Swift","alpswi1","Tachymarptis melba","alpswi1"
"143","Common Swift","comswi","Apus apus","comswi"
"144","Plain Swift","plaswi1","Apus unicolor","plaswi1"
"145","Pallid Swift","palswi3","Apus pallidus","palswi3"
"146","Pacific Swift","fotswi","Apus pacificus","fotswi"
"147","Little Swift","litswi1","Apus affinis","litswi1"
"148","White-rumped Swift","whrswi1","Apus caffer","whrswi1"
"149","Water Rail","watrai1","Rallus aquaticus","watrai1"
"150","Corn Crake","corcra","Crex crex","corcra"
"151","Giant Wood-Rail","giwrai1","Aramides ypecaha","giwrai1"
"152","Sora","sora","Porzana carolina","sora"
"153","Spotted Crake","spocra1","Porzana porzana","spocra1"
"154","Eurasian Moorhen","commoo3","Gallinula chloropus","commoo3"
"155","Eurasian Coot","eurcoo","Fulica atra","eurcoo"
"156","Red-knobbed Coot","rekcoo1","Fulica cristata","rekcoo1"
"157","American Coot","y00475","Fulica americana","y00475"
"158","Purple Gallinule","purgal2","Porphyrio martinica","purgal2"
"159","Gray-headed Swamphen","purswa3","Porphyrio poliocephalus","purswa3"
"160","Little Crake","litcra1","Zapornia parva","litcra1"
"161","Gray Crowned-Crane","grccra1","Balearica regulorum","grccra1"
"162","Sandhill Crane","sancra","Antigone canadensis","sancra"
"163","Common Crane","comcra","Grus grus","comcra"
"164","Black-winged Stilt","bkwsti","Himantopus himantopus","bkwsti"
"165","Black-necked Stilt","bknsti","Himantopus mexicanus","bknsti"
"166","Eurasian Oystercatcher","euroys1","Haematopus ostralegus","euroys1"
"167","Black-bellied Plover","bkbplo","Pluvialis squatarola","bkbplo"
"168","European Golden-Plover","eugplo","Pluvialis apricaria","eugplo"
"169","American Golden-Plover","amgplo","Pluvialis dominica","amgplo"
"170","Pacific Golden-Plover","pagplo","Pluvialis fulva","pagplo"
"171","Eurasian Dotterel","eurdot","Eudromias morinellus","eurdot"
"172","Killdeer","killde","Charadrius vociferus","killde"
"173","Common Ringed Plover","corplo","Charadrius hiaticula","corplo"
"174","Semipalmated Plover","semplo","Charadrius semipalmatus","semplo"
"175","Little Ringed Plover","lirplo","Charadrius dubius","lirplo"
"176","Northern Lapwing","norlap","Vanellus vanellus","norlap"
