"","common_name","common_code","sci_name","sci_code"
"425","Crimson-fronted Parakeet","crfpar","Psittacara finschi","crfpar"
"426","Mitred Parakeet","mitpar","Psittacara mitratus","mitpar"
"427","Red-masked Parakeet","rempar","Psittacara erythrogenys","rempar"
"428","White-eyed Parakeet","whepar2","Psittacara leucophthalmus","whepar2"
"429","Eastern Wood-Pewee","eawpew","Contopus virens","eawpew"
"430","Yellow-bellied Flycatcher","yebfly","Empidonax flaviventris","yebfly"
"431","Acadian Flycatcher","acafly","Empidonax virescens","acafly"
"432","Alder Flycatcher","aldfly","Empidonax alnorum","aldfly"
"433","Least Flycatcher","leafly","Empidonax minimus","leafly"
"434","Western Kingbird","weskin","Tyrannus verticalis","weskin"
"435","Eastern Kingbird","easkin","Tyrannus tyrannus","easkin"
"436","White-eyed Vireo","whevir","Vireo griseus","whevir"
"437","Yellow-throated Vireo","yetvir","Vireo flavifrons","yetvir"
"438","Philadelphia Vireo","phivir","Vireo philadelphicus","phivir"
"439","Warbling Vireo","warvir","Vireo gilvus","warvir"
"440","Red-eyed Vireo","reevir1","Vireo olivaceus","reevir1"
"441","Eurasian Golden Oriole","eugori2","Oriolus oriolus","eugori2"
"442","Red-backed Shrike","rebshr1","Lanius collurio","rebshr1"
"443","Brown Shrike","brnshr","Lanius cristatus","brnshr"
"444","Long-tailed Shrike","lotshr1","Lanius schach","lotshr1"
"445","Northern Shrike","norshr4","Lanius borealis","norshr4"
"446","Iberian Gray Shrike","ibgshr1","Lanius meridionalis","ibgshr1"
"447","Great Gray Shrike","norshr1","Lanius excubitor","norshr1"
"448","Lesser Gray Shrike","legshr2","Lanius minor","legshr2"
"449","Woodchat Shrike","wooshr1","Lanius senator","wooshr1"
"450","Siberian Jay","sibjay1","Perisoreus infaustus","sibjay1"
"451","Green Jay","grnjay","Cyanocorax yncas","grnjay"
"452","Eurasian Jay","eurjay1","Garrulus glandarius","eurjay1"
"453","Iberian Magpie","azwmag3","Cyanopica cooki","azwmag3"
"454","Eurasian Magpie","eurmag1","Pica pica","eurmag1"
"455","Black-billed Magpie","bkbmag1","Pica hudsonia","bkbmag1"
"456","Eurasian Nutcracker","eurnut1","Nucifraga caryocatactes","eurnut1"
"457","Red-billed Chough","rebcho1","Pyrrhocorax pyrrhocorax","rebcho1"
"458","Yellow-billed Chough","yebcho1","Pyrrhocorax graculus","yebcho1"
"459","Eurasian Jackdaw","eurjac","Corvus monedula","eurjac"
"460","House Crow","houcro1","Corvus splendens","houcro1"
"461","Rook","rook1","Corvus frugilegus","rook1"
"462","Carrion Crow","carcro1","Corvus corone","carcro1"
"463","Hooded Crow","hoocro1","Corvus cornix","hoocro1"
"464","Pied Crow","piecro1","Corvus albus","piecro1"
"465","Common Raven","comrav","Corvus corax","comrav"
"466","Coal Tit","coatit2","Periparus ater","coatit2"
"467","Crested Tit","cretit2","Lophophanes cristatus","cretit2"
"468","Sombre Tit","somtit3","Poecile lugubris","somtit3"
"469","Marsh Tit","martit2","Poecile palustris","martit2"
"470","Willow Tit","wiltit1","Poecile montanus","wiltit1"
"471","Gray-headed Chickadee","gyhchi","Poecile cinctus","gyhchi"
"472","Eurasian Blue Tit","blutit","Cyanistes caeruleus","blutit"
"473","Great Tit","gretit1","Parus major","gretit1"
"474","Eurasian Penduline-Tit","euptit1","Remiz pendulinus","euptit1"
"475","Horned Lark","horlar","Eremophila alpestris","horlar"
"476","Calandra Lark","callar1","Melanocorypha calandra","callar1"
"477","Wood Lark","woolar1","Lullula arborea","woolar1"
"478","Eurasian Skylark","skylar","Alauda arvensis","skylar"
"479","Thekla's Lark","thelar1","Galerida theklae","thelar1"
"480","Crested Lark",NA,"Galerida cristata",NA
"481","Bearded Reedling","bearee1","Panurus biarmicus","bearee1"
"482","Zitting Cisticola","zitcis1","Cisticola juncidis","zitcis1"
"483","Booted Warbler","boowar1","Iduna caligata","boowar1"
"484","Sykes's Warbler","sykwar2","Iduna rama","sykwar2"
"485","Western Olivaceous Warbler","weowar1","Iduna opaca","weowar1"
"486","Melodious Warbler","melwar1","Hippolais polyglotta","melwar1"
"487","Icterine Warbler","ictwar1","Hippolais icterina","ictwar1"
"488","Sedge Warbler","sedwar1","Acrocephalus schoenobaenus","sedwar1"
"489","Paddyfield Warbler","padwar1","Acrocephalus agricola","padwar1"
"490","Blyth's Reed Warbler","blrwar1","Acrocephalus dumetorum","blrwar1"
"491","Marsh Warbler","marwar3","Acrocephalus palustris","marwar3"
"492","Common Reed Warbler","eurwar1","Acrocephalus scirpaceus","eurwar1"
"493","Great Reed Warbler","grrwar1","Acrocephalus arundinaceus","grrwar1"
"494","River Warbler","eurwar2","Locustella fluviatilis","eurwar2"
"495","Savi's Warbler","savwar1","Locustella luscinioides","savwar1"
"496","Common Grasshopper Warbler","cogwar1","Locustella naevia","cogwar1"
"497","Bank Swallow","banswa","Riparia riparia","banswa"
"498","Tree Swallow","treswa","Tachycineta bicolor","treswa"
"499","Purple Martin","purmar","Progne subis","purmar"
"500","Eurasian Crag-Martin","eurcrm1","Ptyonoprogne rupestris","eurcrm1"
"501","Barn Swallow","barswa","Hirundo rustica","barswa"
"502","Red-rumped Swallow","rerswa1","Cecropis daurica","rerswa1"
"503","Cliff Swallow","cliswa","Petrochelidon pyrrhonota","cliswa"
"504","Red-whiskered Bulbul","rewbul","Pycnonotus jocosus","rewbul"
"505","Red-vented Bulbul","revbul","Pycnonotus cafer","revbul"
"506","White-spectacled Bulbul","whsbul1","Pycnonotus xanthopygos","whsbul1"
"507","Wood Warbler","woowar","Phylloscopus sibilatrix","woowar"
"508","Western Bonelli's Warbler","webwar1","Phylloscopus bonelli","webwar1"
"509","Yellow-browed Warbler","yebwar3","Phylloscopus inornatus","yebwar3"
"510","Pallas's Leaf Warbler","palwar5","Phylloscopus proregulus","palwar5"
"511","Dusky Warbler","duswar","Phylloscopus fuscatus","duswar"
"512","Willow Warbler","wlwwar","Phylloscopus trochilus","wlwwar"
"513","Common Chiffchaff","comchi1","Phylloscopus collybita","comchi1"
"514","Iberian Chiffchaff","ibechi2","Phylloscopus ibericus","ibechi2"
"515","Green Warbler","grnwar1","Phylloscopus nitidus","grnwar1"
"516","Greenish Warbler","grewar3","Phylloscopus trochiloides","grewar3"
"517","Arctic Warbler","arcwar1","Phylloscopus borealis","arcwar1"
"518","Kamchatka Leaf Warbler","arcwar2","Phylloscopus examinandus","arcwar2"
"519","Cetti's Warbler","cetwar1","Cettia cetti","cetwar1"
"520","Eurasian Blackcap","blackc1","Sylvia atricapilla","blackc1"
"521","Garden Warbler","garwar1","Sylvia borin","garwar1"
"522","Barred Warbler","barwar1","Curruca nisoria","barwar1"
"523","Lesser Whitethroat","leswhi4","Curruca curruca","leswhi4"
"524","Western Orphean Warbler","weowar2","Curruca hortensis","weowar2"
"525","Eastern Orphean Warbler","eaowar2","Curruca crassirostris","eaowar2"
"526","Sardinian Warbler","sarwar1","Curruca melanocephala","sarwar1"
"527","Moltoni's Warbler","subwar8","Curruca subalpina","subwar8"
"528","Western Subalpine Warbler","subwar6","Curruca iberiae","subwar6"
"529","Greater Whitethroat","grewhi1","Curruca communis","grewhi1"
"530","Dartford Warbler","darwar1","Curruca undata","darwar1"
"531","Balearic Warbler","balwar1","Curruca balearica","balwar1"
"532","Vinous-throated Parrotbill","vitpar1","Suthora webbiana","vitpar1"
"533","Indian White-eye","indwhe1","Zosterops palpebrosus","indwhe1"
"534","Red-billed Leiothrix","reblei","Leiothrix lutea","reblei"
"535","Ruby-crowned Kinglet","ruckin","Corthylio calendula","ruckin"
"536","Goldcrest","goldcr1","Regulus regulus","goldcr1"
"537","Common Firecrest","firecr1","Regulus ignicapilla","firecr1"
"538","Wallcreeper","wallcr1","Tichodroma muraria","wallcr1"
"539","Krüper's Nuthatch","krunut1","Sitta krueperi","krunut1"
"540","Red-breasted Nuthatch","rebnut","Sitta canadensis","rebnut"
"541","Western Rock Nuthatch","rocnut1","Sitta neumayer","rocnut1"
"542","Eurasian Nuthatch","eurnut2","Sitta europaea","eurnut2"
"543","Short-toed Treecreeper","shttre1","Certhia brachydactyla","shttre1"
"544","Eurasian Wren","winwre4","Troglodytes troglodytes","winwre4"
"545","Winter Wren","winwre3","Troglodytes hiemalis","winwre3"
"546","White-throated Dipper","whtdip1","Cinclus cinclus","whtdip1"
"547","Common Hill Myna",NA,"Gracula religiosa",NA
"548","European Starling","eursta","Sturnus vulgaris","eursta"
"549","Spotless Starling","sposta1","Sturnus unicolor","sposta1"
"550","Rosy Starling","rossta2","Pastor roseus","rossta2"
"551","Indian Pied Starling","aspsta2","Gracupica contra","aspsta2"
"552","White-shouldered Starling","whssta2","Sturnia sinensis","whssta2"
"553","Common Myna","commyn","Acridotheres tristis","commyn"
"554","Crested Myna","cremyn","Acridotheres cristatellus","cremyn"
"555","Superb Starling","supsta1","Lamprotornis superbus","supsta1"
"556","Gray Catbird","grycat","Dumetella carolinensis","grycat"
"557","Tropical Mockingbird","tromoc","Mimus gilvus","tromoc"
"558","Northern Mockingbird","normoc","Mimus polyglottos","normoc"
"559","Varied Thrush","varthr","Ixoreus naevius","varthr"
"560","Veery","veery","Catharus fuscescens","veery"
"561","Gray-cheeked Thrush","gycthr","Catharus minimus","gycthr"
"562","Swainson's Thrush","swathr","Catharus ustulatus","swathr"
"563","Hermit Thrush","herthr","Catharus guttatus","herthr"
"564","Wood Thrush","woothr","Hylocichla mustelina","woothr"
"565","Orange-headed Thrush","orhthr1","Geokichla citrina","orhthr1"
"566","Mistle Thrush","misthr1","Turdus viscivorus","misthr1"
"567","Song Thrush","sonthr1","Turdus philomelos","sonthr1"
"568","Redwing","redwin","Turdus iliacus","redwin"
"569","Eurasian Blackbird","eurbla","Turdus merula","eurbla"
"570","American Robin","amerob","Turdus migratorius","amerob"
"571","Eyebrowed Thrush","eyethr","Turdus obscurus","eyethr"
"572","Pale Thrush","palthr1","Turdus pallidus","palthr1"
"573","Fieldfare","fieldf","Turdus pilaris","fieldf"
"574","Ring Ouzel","rinouz1","Turdus torquatus","rinouz1"
"575","Asian Brown Flycatcher","asbfly","Muscicapa dauurica","asbfly"
"576","Spotted Flycatcher","spofly1","Muscicapa striata","spofly1"
"577","Rufous-tailed Scrub-Robin","rutscr1","Cercotrichas galactotes","rutscr1"
"578","White-rumped Shama","whrsha","Copsychus malabaricus","whrsha"
"579","Verditer Flycatcher","verfly4","Eumyias thalassinus","verfly4"
"580","European Robin","eurrob1","Erithacus rubecula","eurrob1"
"581","White-throated Robin","whtrob3","Irania gutturalis","whtrob3"
"582","Thrush Nightingale","thrnig1","Luscinia luscinia","thrnig1"
"583","Common Nightingale","comnig1","Luscinia megarhynchos","comnig1"
"584","Bluethroat","blueth","Luscinia svecica","blueth"
"585","Siberian Rubythroat","sibrub","Calliope calliope","sibrub"
"586","Taiga Flycatcher","taifly1","Ficedula albicilla","taifly1"
"587","Red-breasted Flycatcher","rebfly","Ficedula parva","rebfly"
"588","European Pied Flycatcher","eupfly1","Ficedula hypoleuca","eupfly1"
"589","Collared Flycatcher","colfly1","Ficedula albicollis","colfly1"
"590","Common Redstart","comred2","Phoenicurus phoenicurus","comred2"
"591","Black Redstart","blared1","Phoenicurus ochruros","blared1"
"592","Rufous-tailed Rock-Thrush","rtrthr1","Monticola saxatilis","rtrthr1"
"593","Blue Rock-Thrush","burthr","Monticola solitarius","burthr"
"594","Whinchat","whinch1","Saxicola rubetra","whinch1"
"595","European Stonechat","stonec4","Saxicola rubicola","stonec4"
"596","Siberian Stonechat","sibsto1","Saxicola maurus","sibsto1"
"597","Amur Stonechat","stonec7","Saxicola stejnegeri","stonec7"
"598","Pied Bushchat","piebus1","Saxicola caprata","piebus1"
"599","Northern Wheatear","norwhe","Oenanthe oenanthe","norwhe"
"600","Isabelline Wheatear","isawhe1","Oenanthe isabellina","isawhe1"
"601","Western Black-eared Wheatear","bkewhe1","Oenanthe hispanica","bkewhe1"
"602","Eastern Black-eared Wheatear","bkewhe2","Oenanthe melanoleuca","bkewhe2"
"603","Black Wheatear","blawhe1","Oenanthe leucura","blawhe1"
"604","Bohemian Waxwing","bohwax","Bombycilla garrulus","bohwax"
"605","Cedar Waxwing","cedwax","Bombycilla cedrorum","cedwax"
"606","Northern Red Bishop","orabis1","Euplectes franciscanus","orabis1"
"607","Indian Silverbill","indsil","Euodice malabarica","indsil"
"608","Java Sparrow","javspa","Padda oryzivora","javspa"
"609","Scaly-breasted Munia","nutman","Lonchura punctulata","nutman"
"610","White-rumped Munia","whrmun","Lonchura striata","whrmun"
"611","Tricolored Munia","trimun","Lonchura malacca","trimun"
"612","Chestnut Munia","chemun","Lonchura atricapilla","chemun"
"613","Common Waxbill","comwax","Estrilda astrild","comwax"
"614","Pin-tailed Whydah","pitwhy","Vidua macroura","pitwhy"
"615","Alpine Accentor","alpacc1","Prunella collaris","alpacc1"
"616","Dunnock","dunnoc1","Prunella modularis","dunnoc1"
"617","House Sparrow","houspa","Passer domesticus","houspa"
"618","Italian Sparrow","itaspa1","Passer italiae","itaspa1"
"619","Spanish Sparrow","spaspa1","Passer hispaniolensis","spaspa1"
"620","Eurasian Tree Sparrow","eutspa","Passer montanus","eutspa"
"621","White-winged Snowfinch","whwsno1","Montifringilla nivalis","whwsno1"
"622","Gray Wagtail","grywag","Motacilla cinerea","grywag"
"623","Western Yellow Wagtail","eaywag1","Motacilla flava","eaywag1"
"624","Eastern Yellow Wagtail","eaywag","Motacilla tschutschensis","eaywag"
"625","Citrine Wagtail","citwag","Motacilla citreola","citwag"
"626","White Wagtail","whiwag","Motacilla alba","whiwag"
"627","Australian Pipit",NA,"Anthus australis",NA
"628","Richard's Pipit","ricpip1","Anthus richardi","ricpip1"
"629","Paddyfield Pipit","oripip1","Anthus rufulus","oripip1"
"630","Tawny Pipit","tawpip1","Anthus campestris","tawpip1"
"631","Berthelot's Pipit","berpip1","Anthus berthelotii","berpip1"
"632","Meadow Pipit","meapip1","Anthus pratensis","meapip1"
"633","Tree Pipit","trepip","Anthus trivialis","trepip"
"634","Olive-backed Pipit","olbpip","Anthus hodgsoni","olbpip"
"635","Red-throated Pipit","retpip","Anthus cervinus","retpip"
"636","Water Pipit","watpip1","Anthus spinoletta","watpip1"
"637","Rock Pipit","rocpip1","Anthus petrosus","rocpip1"
"638","American Pipit","amepip","Anthus rubescens","amepip"
"639","Common Chaffinch","comcha","Fringilla coelebs","comcha"
"640","Brambling","brambl","Fringilla montifringilla","brambl"
"641","Hawfinch","hawfin","Coccothraustes coccothraustes","hawfin"
"642","Common Rosefinch","comros","Carpodacus erythrinus","comros"
"643","Pine Grosbeak","pingro","Pinicola enucleator","pingro"
"644","Eurasian Bullfinch","eurbul","Pyrrhula pyrrhula","eurbul"
"645","House Finch","houfin","Haemorhous mexicanus","houfin"
"646","European Greenfinch","eurgre1","Chloris chloris","eurgre1"
"647","Yellow-fronted Canary","yefcan","Crithagra mozambica","yefcan"
"648","Twite","twite1","Linaria flavirostris","twite1"
"649","Eurasian Linnet","eurlin1","Linaria cannabina","eurlin1"
"650","Common Redpoll","comred","Acanthis flammea","comred"
"651","Lesser Redpoll","lesred1","Acanthis cabaret","lesred1"
"652","Hoary Redpoll","hoared","Acanthis hornemanni","hoared"
"653","Parrot Crossbill","parcro2","Loxia pytyopsittacus","parcro2"
"654","Red Crossbill","redcro","Loxia curvirostra","redcro"
"655","White-winged Crossbill","whwcro","Loxia leucoptera","whwcro"
"656","European Goldfinch","eurgol","Carduelis carduelis","eurgol"
"657","Citril Finch","citfin1","Carduelis citrinella","citfin1"
"658","European Serin","eurser1","Serinus serinus","eurser1"
"659","Eurasian Siskin","eursis","Spinus spinus","eursis"
"660","American Goldfinch","amegfi","Spinus tristis","amegfi"
"661","Hooded Siskin","hoosis1","Spinus magellanicus","hoosis1"
"662","Lapland Longspur","laplon","Calcarius lapponicus","laplon"
"663","Snow Bunting","snobun","Plectrophenax nivalis","snobun"
"664","Black-headed Bunting","blhbun1","Emberiza melanocephala","blhbun1"
"665","Corn Bunting","corbun1","Emberiza calandra","corbun1"
"666","Rock Bunting","rocbun1","Emberiza cia","rocbun1"
"667","Cirl Bunting","cirbun1","Emberiza cirlus","cirbun1"
"668","Yellowhammer","yellow2","Emberiza citrinella","yellow2"
"669","Ortolan Bunting","ortbun1","Emberiza hortulana","ortbun1"
"670","Cretzschmar's Bunting","crebun2","Emberiza caesia","crebun2"
"671","Reed Bunting","reebun","Emberiza schoeniclus","reebun"
"672","Yellow-breasted Bunting","yebbun","Emberiza aureola","yebbun"
"673","Little Bunting","litbun","Emberiza pusilla","litbun"
"674","Rustic Bunting","rusbun","Emberiza rustica","rusbun"
"675","Lark Sparrow","larspa","Chondestes grammacus","larspa"
"676","American Tree Sparrow","amtspa","Spizelloides arborea","amtspa"
"677","Fox Sparrow","foxspa","Passerella iliaca","foxspa"
"678","Dark-eyed Junco","daejun","Junco hyemalis","daejun"
"679","Rufous-collared Sparrow","rucspa1","Zonotrichia capensis","rucspa1"
"680","White-crowned Sparrow","whcspa","Zonotrichia leucophrys","whcspa"
"681","White-throated Sparrow","whtspa","Zonotrichia albicollis","whtspa"
"682","Savannah Sparrow","savspa","Passerculus sandwichensis","savspa"
"683","Song Sparrow","sonspa","Melospiza melodia","sonspa"
"684","Lincoln's Sparrow","linspa","Melospiza lincolnii","linspa"
"685","Spotted Towhee","spotow","Pipilo maculatus","spotow"
"686","Yellow-headed Blackbird","yehbla","Xanthocephalus xanthocephalus","yehbla"
"687","Bobolink","boboli","Dolichonyx oryzivorus","boboli"
"688","Baltimore Oriole","balori","Icterus galbula","balori"
"689","Red-winged Blackbird","rewbla","Agelaius phoeniceus","rewbla"
"690","Brown-headed Cowbird","bnhcow","Molothrus ater","bnhcow"
"691","Common Grackle","comgra","Quiscalus quiscula","comgra"
"692","Boat-tailed Grackle","botgra","Quiscalus major","botgra"
"693","Great-tailed Grackle","grtgra","Quiscalus mexicanus","grtgra"
"694","Ovenbird","ovenbi1","Seiurus aurocapilla","ovenbi1"
"695","Northern Waterthrush","norwat","Parkesia noveboracensis","norwat"
"696","Golden-winged Warbler","gowwar","Vermivora chrysoptera","gowwar"
"697","Blue-winged Warbler","buwwar","Vermivora cyanoptera","buwwar"
"698","Black-and-white Warbler","bawwar","Mniotilta varia","bawwar"
"699","Prothonotary Warbler","prowar","Protonotaria citrea","prowar"
"700","Tennessee Warbler","tenwar","Leiothlypis peregrina","tenwar"
"701","Connecticut Warbler","conwar","Oporornis agilis","conwar"
"702","Common Yellowthroat","comyel","Geothlypis trichas","comyel"
"703","Hooded Warbler","hoowar","Setophaga citrina","hoowar"
"704","American Redstart","amered","Setophaga ruticilla","amered"
"705","Cape May Warbler","camwar","Setophaga tigrina","camwar"
"706","Cerulean Warbler","cerwar","Setophaga cerulea","cerwar"
"707","Northern Parula","norpar","Setophaga americana","norpar"
"708","Magnolia Warbler","magwar","Setophaga magnolia","magwar"
"709","Bay-breasted Warbler","babwar","Setophaga castanea","babwar"
"710","Blackburnian Warbler","bkbwar","Setophaga fusca","bkbwar"
"711","Yellow Warbler","yelwar","Setophaga petechia","yelwar"
"712","Chestnut-sided Warbler","chswar","Setophaga pensylvanica","chswar"
"713","Blackpoll Warbler","bkpwar","Setophaga striata","bkpwar"
"714","Black-throated Blue Warbler","btbwar","Setophaga caerulescens","btbwar"
"715","Palm Warbler","palwar","Setophaga palmarum","palwar"
"716","Yellow-rumped Warbler","yerwar","Setophaga coronata","yerwar"
"717","Yellow-throated Warbler","yetwar","Setophaga dominica","yetwar"
"718","Black-throated Green Warbler","btnwar","Setophaga virens","btnwar"
"719","Canada Warbler","canwar","Cardellina canadensis","canwar"
"720","Wilson's Warbler","wlswar","Cardellina pusilla","wlswar"
"721","Scarlet Tanager","scatan","Piranga olivacea","scatan"
"722","Northern Cardinal","norcar","Cardinalis cardinalis","norcar"
"723","Rose-breasted Grosbeak","robgro","Pheucticus ludovicianus","robgro"
"724","Blue Grosbeak","blugrb1","Passerina caerulea","blugrb1"
"725","Indigo Bunting","indbun","Passerina cyanea","indbun"
"726","Painted Bunting","paibun","Passerina ciris","paibun"
"727","Dickcissel","dickci","Spiza americana","dickci"
"728","Red-crested Cardinal","reccar","Paroaria coronata","reccar"
"729","Saffron Finch","saffin","Sicalis flaveola","saffin"
"730","Red-crested Finch",NA,"Coryphospingus cucullatus",NA
"731","Yellow-faced Grassquit","yefgra1","Tiaris olivaceus","yefgra1"
