"","common_name","common_code","sci_name","sci_code"
"104","Swinhoe's Pheasant",NA,"Lophura swinhoii",NA
"105","Kalij Pheasant",NA,"Lophura leucomelanos",NA
"106","Indian Peafowl","compea","Pavo cristatus","compea"
"107","Red Junglefowl",NA,"Gallus gallus",NA
"108","Black Francolin",NA,"Francolinus francolinus",NA
"109","Common Quail",NA,"Coturnix coturnix",NA
"110","Red-legged Partridge","relpar1","Alectoris rufa","relpar1"
"111","Chukar","chukar","Alectoris chukar","chukar"
"112","Chilean Flamingo","chifla1","Phoenicopterus chilensis","chifla1"
"113","American Flamingo","grefla2","Phoenicopterus ruber","grefla2"
"114","Little Grebe",NA,"Tachybaptus ruficollis",NA
"115","Pied-billed Grebe","pibgre","Podilymbus podiceps","pibgre"
"116","Horned Grebe","horgre","Podiceps auritus","horgre"
"117","Red-necked Grebe","rengre","Podiceps grisegena","rengre"
"118","Great Crested Grebe",NA,"Podiceps cristatus",NA
"119","Eared Grebe","eargre","Podiceps nigricollis","eargre"
"120","Rock Pigeon","rocpig","Columba livia","rocpig"
"121","Speckled Pigeon","spepig1","Columba guinea","spepig1"
"122","Stock Dove",NA,"Columba oenas",NA
"123","Common Wood-Pigeon","cowpig1","Columba palumbus","cowpig1"
"124","European Turtle-Dove",NA,"Streptopelia turtur",NA
"125","Oriental Turtle-Dove","ortdov","Streptopelia orientalis","ortdov"
"126","Eurasian Collared-Dove","eucdov","Streptopelia decaocto","eucdov"
"127","Red Collared-Dove","recdov1","Streptopelia tranquebarica","recdov1"
"128","Crested Pigeon","crepig1","Ocyphaps lophotes","crepig1"
"129","Ruddy Ground Dove","rugdov","Columbina talpacoti","rugdov"
"130","Mourning Dove","moudov","Zenaida macroura","moudov"
"131","Black-bellied Sandgrouse",NA,"Pterocles orientalis",NA
"132","Great Spotted Cuckoo",NA,"Clamator glandarius",NA
"133","Yellow-billed Cuckoo","yebcuc","Coccyzus americanus","yebcuc"
"134","Black-billed Cuckoo","bkbcuc","Coccyzus erythropthalmus","bkbcuc"
"135","Common Cuckoo",NA,"Cuculus canorus",NA
"136","Oriental Cuckoo",NA,"Cuculus optatus",NA
"137","Common Nighthawk","comnig","Chordeiles minor","comnig"
"138","Red-necked Nightjar",NA,"Caprimulgus ruficollis",NA
"139","Eurasian Nightjar",NA,"Caprimulgus europaeus",NA
"140","Chimney Swift","chiswi","Chaetura pelagica","chiswi"
"141","White-throated Needletail",NA,"Hirundapus caudacutus",NA
"142","Alpine Swift",NA,"Tachymarptis melba",NA
"143","Common Swift",NA,"Apus apus",NA
"144","Plain Swift",NA,"Apus unicolor",NA
