"","sp_edit","counts","order","family","genus"
"149","Red Fox",2,"Carnivora","Canidae","Vulpes"
"150","Red Knot",2,"Charadriiformes","Scolopacidae","Calidris"
"151","Rock Dove",9,"Columbiformes","Columbidae","Columba"
"152","Rook",10,"Passeriformes","Corvidae","Corvus"
"153","Rose Pelican",1,NA,NA,NA
"154","Sanderling ",3,"Charadriiformes","Scolopacidae","Calidris"
"155","Sandwich Tern",24,"Charadriiformes","Laridae","Thalasseus"
"156","Scolopacidae",3,"Charadriiformes","Scolopacidae",NA
"157","Semipalmated Sandpiper",3,"Charadriiformes","Scolopacidae","Calidris"
"158","Silver Teal",1,NA,NA,NA
"159","Spotted Dove",1,"Columbiformes","Columbidae","Spilopelia"
"160","Starling",2,"Passeriformes","Sturnidae","Sturnus"
"161","Stone Marten",1,NA,NA,NA
"162","Stork",35,NA,NA,NA
"163","Strigidae",15,"Strigiformes","Strigidae",NA
"164","Sulids",18,NA,NA,NA
"165","Swallow",1,NA,NA,NA
"166","Swan",519,NA,NA,NA
"167","Tawny Owl",2,"Strigiformes","Strigidae","Strix"
"168","Teal",19,NA,NA,NA
"169","Tern",2,NA,NA,NA
"170","Threskiornithidae",2,"Pelecaniformes","Threskiornithidae",NA
"171","Thrush",2,NA,NA,NA
"172","Tufted Duck",83,"Anseriformes","Anatidae","Aythya"
"173","Tundra Swan",2,"Anseriformes","Anatidae","Cygnus"
"174","Unspecified Bird",530,NA,NA,NA
"175","Unspecified Mammal",1,NA,NA,NA
"176","Variable Hawk",1,NA,NA,NA
"177","Vulture",2,NA,NA,NA
"178","Wader",1,NA,NA,NA
"179","Water Hen",1,NA,NA,NA
"180","Western Grebe",1,"Podicipediformes","Podicipedidae","Aechmophorus"
"181","White Stork",3,"Ciconiiformes","Ciconiidae","Ciconia"
"182","White Tailed Eagle",96,"Accipitriformes","Accipitridae","Haliaeetus"
"183","Whooper Swan",153,NA,NA,NA
"184","Wigeons",1,NA,NA,NA
"185","Wild Duck",64,NA,NA,NA
"186","Yellow-Legged Gull ",10,"Charadriiformes","Laridae","Larus"
