"anatinae","anserinae","ardeidae","arenaria_calidris","around_surf","aythyini","below_surf","cong","host_dist","laridae","migr","plant","scav","species_richness","vend","chicken_density_2010","duck_density_2010","elevation_diff","elevation_max","elevation_min","elevation_mode","isotherm_mean_q1","isotherm_mean_q2","isotherm_mean_q3","isotherm_mean_q4","isotherm_midday_days_below1_q1","isotherm_midday_days_below1_q2","isotherm_midday_days_below1_q3","isotherm_midday_days_below1_q4","mean_diff_third_quart","mean_prec_third_quart","mean_relative_humidity_q1","mean_relative_humidity_q2","mean_relative_humidity_q3","mean_relative_humidity_q4","mean_temp_q1","mean_temp_q2","mean_temp_q3","mean_temp_q4","ndvi_third_quart_2022","Water_bodies","Evergreen_Needleleaf_Forests","Evergreen_Broadleaf_Forests","Deciduous_Needleleaf_Forests","Deciduous_Broadleaf_Forests","Mixed_Forests","Closed_Shrublands","Open_Shrublands","Woody_Savannas","Savannas","Grasslands","Permanent_Wetlands","Croplands","Urban_and_Built.up_Lands","Cropland.Natural_Vegetation_Mosaics","Non.Vegetated_Lands","Unclassified","dist_to_coast_km","dist_to_water","y"
124.560806274414,11.0181140899658,5.9223108291626,0.0602759718894958,200.273468017578,2.00919890403748,71.674934387207,463.602783203125,3031.62329101562,86.4221649169922,3090.162109375,660.680480957031,87.2589645385742,63,65.2799530029297,2436.76342773438,45.1932220458984,150,181,31,41,1839.21765136719,2748.115234375,3634.40698242188,2209.82275390625,0,0,0,1,11.1648435592651,32.6131973266602,70.1281280517578,54.4137382507324,48.1246337890625,76.9768829345703,6.2128758430481,16.2864379882812,20.4873104095459,9.66609191894531,0.44597601890564,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,138.76399230957,110453.609375,0
8.23348617553711,0,12.3219337463379,8.77763271331787,141.674255371094,0,161.258895874023,622.52490234375,2164.05126953125,294.030609130859,2607.01000976562,325.309783935547,45.2962379455566,108,103.86988067627,991.483154296875,230.987014770508,138,145,7,45,2834.99047851562,3776.68212890625,4646.5166015625,3557.8671875,0,0,0,0,9.82313251495361,2.69024443626404,65.1379470825195,63.2674217224121,64.8770370483398,72.8488311767578,12.5810546875,17.1185531616211,22.2455520629883,15.8975105285645,0.375365197658539,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.29707908630371,14142.1357421875,0
0,0,0,0,291.933654785156,0,126.530555725098,571.554809570312,2001.26220703125,461.588256835938,1563.19116210938,454.155487060547,27.835033416748,38,61.6292724609375,18083.1015625,1.74509382247925,186,191,5,17,2528.00634765625,3628.92065429688,4500.1669921875,3340.44873046875,0,0,0,0,11.2180767059326,34.987850189209,64.6876678466797,62.2118835449219,57.8498229980469,69.2518005371094,10.9695281982422,18.1802806854248,25.3231716156006,15.2389097213745,0.311897426843643,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.169898003339767,254950.96875,0
32.5298805236816,0,3.66331052780151,0,123.540718078613,0,35.311595916748,569.93603515625,2359.365234375,155.518341064453,2952.41772460938,544.309997558594,52.5146408081055,85,48.4681129455566,186728.421875,13.3215818405151,190,242,52,141,2266.08471679688,3257.31616210938,4130.048828125,2949.52319335938,0,0,0,0,10.6765012741089,53.2014656066895,56.4928550720215,49.5412750244141,51.4157752990723,60.8512649536133,9.5181074142456,17.7274150848389,24.5712413787842,13.4509534835815,0.414590239524841,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10.5681085586548,60827.625,0
92.8634796142578,0.0944640189409256,89.19873046875,89.6343688964844,710.763671875,0,178.103179931641,2097.0751953125,2717.65380859375,625.265869140625,3713.9287109375,526.544189453125,60.4420623779297,121,102.010444641113,252959.484375,14.6374607086182,220,218,-2,0,2371.02978515625,3374.27124023438,4253.73486328125,3089.55517578125,0,0,0,0,10.9592599868774,55.9058036804199,56.2375030517578,53.3707427978516,51.191104888916,61.9738693237305,11.2122058868408,19.5725116729736,26.1746864318848,14.890398979187,0.489377826452255,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.407167971134186,0,0
161.660980224609,212.116683959961,2.67789435386658,0.440390795469284,437.908203125,59.5020523071289,237.881271362305,1491.8623046875,5623.62939453125,568.325927734375,6533.9404296875,916.539489746094,188.762161254883,78,362.004180908203,35612.921875,483.085052490234,103,121,18,57,1464.27062988281,2165.96337890625,3083.32958984375,1788.44140625,0,0,0,1,9.0912971496582,50.9917640686035,73.7306060791016,62.4817237854004,61.2306365966797,80.6593475341797,3.43849182128906,11.9535913467407,15.5076351165771,7.83878993988037,0.54836767911911,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,60.6172294616699,86023.25,0
16.1115951538086,0,0.262593328952789,0,10.7781667709351,0,4.68697595596313,126.302001953125,1048.97473144531,0,1650.15173339844,146.372955322266,25.8640289306641,65,42.511344909668,4330.67626953125,57.2333602905273,311,481,170,364,1027.26904296875,2572.31176757812,3289.1279296875,2017.41369628906,1,0,0,3,11.3486442565918,67.8171234130859,52.5783309936523,51.8874435424805,54.9249038696289,76.0276184082031,1.89602708816528,17.2926902770996,20.331844329834,7.08702802658081,0.738740026950836,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,342.756225585938,22360.6796875,0
67.4177780151367,53.4729461669922,1.24497783184052,8083.47802734375,1207.67370605469,7.01347970962524,375.591796875,11487.849609375,14622.5478515625,1256.17077636719,16880.40625,869.634948730469,274.186279296875,103,431.165252685547,122707.2265625,3996.55932617188,84,85,1,2,1627.40991210938,2395.00170898438,3276.85595703125,1992.11120605469,0,0,0,0,9.48311996459961,50.3018760681152,76.7187347412109,64.967414855957,63.0695991516113,80.9414672851562,4.88503074645996,12.7663440704346,16.7775058746338,8.60085582733154,0.452844470739365,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.57568907737732,22360.6796875,0
66.9160690307617,45.7092094421387,6.60920190811157,0.0574779473245144,81.8061981201172,11.3360977172852,28.0192909240723,524.585693359375,3096.32666015625,8.08703231811523,3986.533203125,424.4619140625,155.434967041016,87,143.637893676758,26454.814453125,1290.17883300781,359,419,60,61,1254.57006835938,2322.67114257812,3164.7490234375,1859.64892578125,0,0,0,8,11.4604425430298,49.8817558288574,69.6020584106445,53.5172080993652,53.4951133728027,75.396354675293,2.49548125267029,15.4429817199707,18.6068630218506,7.61777448654175,0.572033524513245,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,158.507354736328,158113.890625,0
141.30339050293,10.5862703323364,1.26913189888,0,364.111785888672,73.880744934082,227.714172363281,1037.48522949219,4777.681640625,416.530212402344,5372.98974609375,779.537048339844,112.727569580078,74,311.322814941406,11983.7490234375,21.944803237915,169,196,27,102,1415.94519042969,2114.2314453125,3080.58862304688,1712.83801269531,0,0,0,2,8.29673004150391,67.2091293334961,76.110107421875,64.2335510253906,65.7228088378906,82.816780090332,4.00084733963013,12.8546447753906,15.9705142974854,8.31141662597656,0.535136103630066,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,40.2255401611328,50990.1953125,0
