"","Var1","Var2","value","set","nbins"
"1","Q1","none",587,"train_A",10
"2","Q2","none",105,"train_A",10
"3","Q3","none",7,"train_A",10
"4","Q4","none",183,"train_A",10
"5","Q1","rand",587,"train_A",10
"6","Q2","rand",105,"train_A",10
"7","Q3","rand",7,"train_A",10
"8","Q4","rand",183,"train_A",10
"9","Q1","env",500,"train_A",10
"10","Q2","env",92,"train_A",10
"11","Q3","env",5,"train_A",10
"12","Q4","env",149,"train_A",10
"13","Q1","none",494,"pseudoabs_train_A",10
"14","Q2","none",96,"pseudoabs_train_A",10
"15","Q3","none",7,"pseudoabs_train_A",10
"16","Q4","none",163,"pseudoabs_train_A",10
"17","Q1","rand",494,"pseudoabs_train_A",10
"18","Q2","rand",96,"pseudoabs_train_A",10
"19","Q3","rand",7,"pseudoabs_train_A",10
"20","Q4","rand",163,"pseudoabs_train_A",10
"21","Q1","env",460,"pseudoabs_train_A",10
"22","Q2","env",92,"pseudoabs_train_A",10
"23","Q3","env",6,"pseudoabs_train_A",10
"24","Q4","env",158,"pseudoabs_train_A",10
"25","Q1","none",1595,"train_B",10
"26","Q2","none",725,"train_B",10
"27","Q3","none",360,"train_B",10
"28","Q4","none",956,"train_B",10
"29","Q1","rand",1000,"train_B",10
"30","Q2","rand",725,"train_B",10
"31","Q3","rand",360,"train_B",10
"32","Q4","rand",956,"train_B",10
"33","Q1","env",1010,"train_B",10
"34","Q2","env",502,"train_B",10
"35","Q3","env",189,"train_B",10
"36","Q4","env",615,"train_B",10
"37","Q1","none",1138,"pseudoabs_train_B",10
"38","Q2","none",573,"pseudoabs_train_B",10
"39","Q3","none",306,"pseudoabs_train_B",10
"40","Q4","none",771,"pseudoabs_train_B",10
"41","Q1","rand",1000,"pseudoabs_train_B",10
"42","Q2","rand",573,"pseudoabs_train_B",10
"43","Q3","rand",306,"pseudoabs_train_B",10
"44","Q4","rand",771,"pseudoabs_train_B",10
"45","Q1","env",998,"pseudoabs_train_B",10
"46","Q2","env",523,"pseudoabs_train_B",10
"47","Q3","env",287,"pseudoabs_train_B",10
"48","Q4","env",717,"pseudoabs_train_B",10
