"anatinae","anserinae","ardeidae","arenaria_calidris","around_surf","aythyini","below_surf","cong","host_dist","laridae","migr","plant","scav","species_richness","vend","chicken_density_2010","duck_density_2010","elevation_diff","elevation_max","elevation_min","elevation_mode","isotherm_mean_q1","isotherm_mean_q2","isotherm_mean_q3","isotherm_mean_q4","isotherm_midday_days_below1_q1","isotherm_midday_days_below1_q2","isotherm_midday_days_below1_q3","isotherm_midday_days_below1_q4","mean_diff_second_quart","mean_prec_second_quart","mean_relative_humidity_q1","mean_relative_humidity_q2","mean_relative_humidity_q3","mean_relative_humidity_q4","mean_temp_q1","mean_temp_q2","mean_temp_q3","mean_temp_q4","ndvi_second_quart_2022","Water_bodies","Evergreen_Needleleaf_Forests","Evergreen_Broadleaf_Forests","Deciduous_Needleleaf_Forests","Deciduous_Broadleaf_Forests","Mixed_Forests","Closed_Shrublands","Open_Shrublands","Woody_Savannas","Savannas","Grasslands","Permanent_Wetlands","Croplands","Urban_and_Built.up_Lands","Cropland.Natural_Vegetation_Mosaics","Non.Vegetated_Lands","Unclassified","dist_to_coast_km","dist_to_water","y"
2.21842193603516,0,0.0594780556857586,0,4.55534362792969,0.0149786891415715,1.92845785617828,104.438865661621,1334.67651367188,0,1960.82250976562,143.940307617188,54.8209648132324,58,57.2647857666016,3385.2529296875,4.57900047302246,688,1085,397,562,1674.33142089844,2404.29565429688,3471.82763671875,2165.1455078125,0,0,0,0,11.4491481781006,113.909683227539,66.4394989013672,64.1483535766602,55.5842781066895,73.0295104980469,5.7752628326416,13.1148204803467,18.85498046875,9.06571388244629,0.735507071018219,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,74.3859252929688,101980.390625,0
18.7037715911865,0,17.926420211792,0,38.3437118530273,0.00240016332827508,14.507830619812,373.134094238281,2252.83081054688,3.17812561988831,2276.79174804688,402.604309082031,68.5093688964844,82,90.7331314086914,1802.11633300781,228.962020874023,87,421,334,384,2227.7548828125,3052.28881835938,4055.021484375,2861.45385742188,0,0,0,0,12.1345491409302,68.1630096435547,59.5248680114746,43.8340072631836,35.5481643676758,71.0731811523438,9.76383304595947,17.6067485809326,24.2328186035156,12.6542310714722,0.468785256147385,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,121.342445373535,31622.77734375,0
249.916229248047,578.160827636719,6.40882158279419,23.3683338165283,887.077941894531,93.0005035400391,355.092407226562,2864.20239257812,8042.40673828125,696.969909667969,9088.75390625,1531.44897460938,369.264038085938,115,353.947479248047,327.189849853516,165.21369934082,60,86,26,51,1054.75598144531,2156.89404296875,3041.73803710938,1656.07836914062,0,0,0,4,9.48393154144287,26.7235145568848,73.0269546508789,62.6543884277344,61.0128479003906,82.4691467285156,-0.141381770372391,13.6057109832764,17.5505332946777,6.53893661499023,0.663731873035431,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16.113618850708,28284.271484375,0
22.4094390869141,4.54510498046875,5.92284488677979,1.1779488325119,49.994743347168,1.01791894435883,14.419469833374,363.367614746094,2333.1240234375,30.06689453125,2964.66333007812,176.090896606445,151.924545288086,99,62.2579040527344,17145.537109375,971.592102050781,155,435,280,400,482.655700683594,2149.11450195312,3064.4560546875,1657.73229980469,20,0,0,12,11.7705774307251,62.3116226196289,71.216064453125,56.4463157653809,66.1524429321289,80.1825942993164,-2.63164687156677,15.084080696106,16.9658679962158,4.1138768196106,0.679599463939667,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,560.25439453125,80622.578125,0
104.773109436035,21.9008445739746,79.8675918579102,0,292.430755615234,51.8530006408691,167.430419921875,819.858764648438,2394.07055664062,94.9039154052734,2921.67041015625,378.229766845703,98.3805618286133,105,107.003364562988,34.6332015991211,200.702667236328,34,124,90,108,1960.88354492188,2917.35180664062,3823.78588867188,2422.43359375,0,0,0,0,10.3646841049194,64.8475112915039,70.5891799926758,56.1379852294922,49.5531387329102,74.9444885253906,6.17470741271973,16.2444305419922,20.6736660003662,9.89356517791748,0.704299569129944,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,185.935791015625,0,0
6.08588266372681,0,0.112827144563198,0,7.92722082138062,0,1.70349204540253,325.692138671875,1557.17236328125,0,2165.37524414062,349.8115234375,141.853988647461,88,70.8002243041992,555.555969238281,3.28475165367126,358,1251,893,983,1453.27416992188,2434.87060546875,3345.4326171875,2145.49975585938,0,0,0,0,13.2131080627441,62.7418594360352,50.8951416015625,32.4539070129395,27.4242191314697,57.6368827819824,5.48625183105469,14.6906976699829,22.4857215881348,8.84072589874268,0.387713849544525,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,166.974166870117,50990.1953125,0
20.2895526885986,0,7.12647199630737,0,46.0080490112305,0,14.0310039520264,577.344848632812,1887.93395996094,0.329611629247665,2475.3095703125,302.661529541016,238.745819091797,77,85.4254531860352,773.723205566406,0.828152477741241,245,469,224,265,2258.50634765625,3123.44116210938,4100.3291015625,2883.89770507812,0,0,0,0,11.9952669143677,47.9738006591797,60.2812232971191,39.5136566162109,28.9758930206299,66.5707473754883,9.37124156951904,17.8323020935059,25.1796340942383,12.7606754302979,0.489461123943329,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,247.591156005859,0,0
104.123908996582,59.8652114868164,13.6037092208862,0.153192132711411,199.280136108398,31.804817199707,88.0775451660156,642.283386230469,4076.71264648438,106.788970947266,4996.20849609375,683.075927734375,123.671607971191,94,231.985137939453,25298.763671875,30.1397171020508,173,215,42,153,1732.61462402344,2450.7607421875,3421.869140625,1959.3994140625,0,0,0,4,9.23915481567383,49.1710968017578,76.9959564208984,65.6960830688477,62.885913848877,81.664306640625,4.92448997497559,12.7559766769409,16.3715171813965,8.96312522888184,0.753318846225739,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13.5106325149536,22360.6796875,0
0,0,0,0,4.1447172164917,0,3.5484664440155,244.748245239258,1111.38562011719,0,1729.43823242188,142.898513793945,242.321426391602,70,43.2171478271484,91.9185256958008,120.100761413574,563,1315,752,950,1516.10571289062,2453.75317382812,3381.7998046875,2099.1279296875,1,0,0,0,9.99280643463135,119.993713378906,66.5300979614258,58.8921394348145,53.0663032531738,65.4032211303711,4.00936412811279,12.1002826690674,19.1891593933105,8.39131736755371,0.757120788097382,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,72.5634994506836,20000,0
151.430358886719,77.9277420043945,9.62579727172852,0.126800894737244,327.020111083984,79.7757797241211,196.645919799805,809.482543945312,5188.61669921875,201.580657958984,5468.28369140625,1012.60046386719,183.927169799805,81,200.596237182617,13689.7373046875,20.729175567627,29,45,16,18,1710.45593261719,2473.41577148438,3389.57568359375,2003.77917480469,0,0,0,0,10.1754016876221,43.1446075439453,72.9874267578125,57.532829284668,55.1447372436523,80.0566787719727,6.02461957931519,14.1047496795654,17.9979228973389,9.36246109008789,0.573400139808655,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17.3020896911621,80622.578125,0
