"anatinae","anserinae","ardeidae","arenaria_calidris","around_surf","aythyini","below_surf","cong","host_dist","laridae","migr","plant","scav","species_richness","vend","chicken_density_2010","duck_density_2010","elevation_diff","elevation_max","elevation_min","elevation_mode","isotherm_mean_q1","isotherm_mean_q2","isotherm_mean_q3","isotherm_mean_q4","isotherm_midday_days_below1_q1","isotherm_midday_days_below1_q2","isotherm_midday_days_below1_q3","isotherm_midday_days_below1_q4","mean_diff_first_quart","mean_prec_first_quart","mean_relative_humidity_q1","mean_relative_humidity_q2","mean_relative_humidity_q3","mean_relative_humidity_q4","mean_temp_q1","mean_temp_q2","mean_temp_q3","mean_temp_q4","ndvi_first_quart_2022","Water_bodies","Evergreen_Needleleaf_Forests","Evergreen_Broadleaf_Forests","Deciduous_Needleleaf_Forests","Deciduous_Broadleaf_Forests","Mixed_Forests","Closed_Shrublands","Open_Shrublands","Woody_Savannas","Savannas","Grasslands","Permanent_Wetlands","Croplands","Urban_and_Built.up_Lands","Cropland.Natural_Vegetation_Mosaics","Non.Vegetated_Lands","Unclassified","dist_to_coast_km","dist_to_water","y","ri"
19.7766704559326,9.83635330200195,0.162132725119591,2.97777986526489,66.8301010131836,5.67966079711914,69.8052291870117,194.501617431641,455.387420654297,80.8808517456055,538.817993164062,90.7261047363281,29.2027816772461,51,18.1376953125,526.950988769531,0.459512650966644,285,287,2,7,1008.96502685547,1931.07983398438,2820.60766601562,1394.0048828125,0,0,0,7,3.71589946746826,120.163986206055,76.47705078125,68.8871536254883,73.3672637939453,82.3613510131836,0.494326740503311,11.2915802001953,15.4435214996338,6.64489698410034,0.489842444658279,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.95272970199585,53851.6484375,0,161
96.0475006103516,780.949768066406,1.41093862056732,96.6583099365234,652.327697753906,16.1682586669922,127.28295135498,1696.00549316406,3141.54296875,375.883239746094,3612.83959960938,1144.10302734375,95.8652267456055,77,102.624359130859,441.426849365234,80.0724411010742,376,378,2,27,949.404418945312,1633.39636230469,2523.22119140625,1231.66967773438,0,0,0,5,5.85581016540527,167.876724243164,75.5592422485352,67.1155242919922,69.3539352416992,82.1723175048828,2.62642788887024,10.3711128234863,13.0964040756226,6.39464950561523,0.527418613433838,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.28474140167236,20000,0,229
20.3782787322998,0.982817351818085,2.18161940574646,0,251.827590942383,0.0439971424639225,266.337463378906,857.355895996094,5191.92431640625,694.613342285156,4022.92138671875,1145.27001953125,133.700042724609,76,227.704833984375,14541.7001953125,2.98432731628418,134,704,570,606,1875.36474609375,2829.0576171875,3760.6591796875,2566.88842773438,0,0,0,0,10.1578302383423,70.9319381713867,54.9096031188965,36.0357704162598,29.1971626281738,62.8425521850586,7.7615704536438,17.0450134277344,24.821361541748,10.8327684402466,0.322286754846573,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,310.018737792969,40000,0,206
118.20645904541,71.5187606811523,5.71990299224854,0.0977896004915237,464.669189453125,70.1360702514648,205.250289916992,1304.98046875,9203.5791015625,689.659301757812,10154.2099609375,1441.03015136719,262.210784912109,80,357.294982910156,23448.083984375,82.0624618530273,53,101,48,56,1553.21008300781,2263.7021484375,3203.1337890625,1842.17541503906,0,0,0,2,5.8024492263794,62.1834678649902,75.2650146484375,62.2043304443359,59.7052917480469,81.3384475708008,4.26627969741821,12.0909223556519,15.8534498214722,8.11203002929688,0.649502515792847,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,96.049934387207,72801.1015625,0,229
74.9167633056641,21.1132659912109,54.0013122558594,3.45672130584717,336.419067382812,5.15088176727295,159.898727416992,1442.17321777344,3257.38818359375,384.8046875,5636.66064453125,577.660461425781,136.547058105469,107,204.973098754883,5881.990234375,0.837841331958771,101,326,225,262,2415.03173828125,3304.12231445312,4266.6904296875,3075.634765625,0,0,0,0,10.727222442627,95.677131652832,56.8492774963379,38.0694351196289,30.0501441955566,62.0066604614258,9.93828201293945,18.6301078796387,26.2333354949951,13.384880065918,0.632540881633759,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,208.72900390625,70710.6796875,0,206
6.50599670410156,0,7.62665748596191,0,10.524751663208,0,2.55620956420898,135.184066772461,2360.68896484375,4.6562328338623,2615.40112304688,346.038665771484,134.033477783203,70,36.5466728210449,46813.8046875,12.7643814086914,431,785,354,571,2030.40637207031,3027.79223632812,3900.5537109375,2717.048828125,0,0,0,0,9.06044769287109,61.6322250366211,58.1870422363281,41.4824867248535,46.0761108398438,63.6525535583496,7.38325262069702,16.0599460601807,23.2483158111572,11.4138097763062,0.470835596323013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.657886505127,92195.4453125,0,206
5.8558349609375,0,11.5125322341919,79.4346160888672,139.889999389648,0,130.079406738281,612.731140136719,3831.8798828125,381.593109130859,4185.64697265625,516.963989257812,57.627025604248,72,147.532501220703,53323.7734375,753.982177734375,294,300,6,77,2719.20947265625,3541.28369140625,4500.37890625,3371.65161132812,0,0,0,0,7.55423355102539,119.553886413574,65.0254898071289,56.8660736083984,54.4092178344727,74.9235382080078,12.0546951293945,17.4500427246094,22.931037902832,15.2353601455688,0.450806885957718,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.73996543884277,10000,0,172
66.9375457763672,156.053024291992,3.28159594535828,10.3374557495117,589.804016113281,742.8935546875,946.296997070312,1788.26135253906,2424.98217773438,239.769973754883,2546.87768554688,424.1875,133.32275390625,70,65.1482315063477,119.941902160645,85.0005264282227,65,67,2,12,748.471557617188,1895.12658691406,2805.97680664062,1291.36218261719,12,0,0,18,5.56906175613403,37.4778175354004,67.1781311035156,57.152172088623,61.8416481018066,81.4220123291016,-2.2755286693573,11.9031229019165,17.2277374267578,4.66394138336182,0.418904989957809,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28610801696777,20000,0,211
7.86057806015015,0,4.66689777374268,0,10.165244102478,0,4.25247192382812,59.6498756408691,2044.69641113281,1.63674020767212,2521.2646484375,273.619079589844,67.4233245849609,60,53.4986991882324,2522.822265625,82.4513320922852,372,449,77,126,2110.89306640625,3208.48876953125,4076.24047851562,2791.68823242188,0,0,0,0,7.87401580810547,72.0939865112305,53.5601959228516,42.833553314209,40.6895408630371,69.0136032104492,8.15529251098633,18.1095695495605,24.0053653717041,12.2159414291382,0.55840790271759,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,26.6023063659668,22360.6796875,0,73
1626.2021484375,2249.60424804688,19.6251068115234,7295.318359375,3324.91235351562,100.1201171875,431.221405029297,17190.32421875,26075.267578125,1886.95056152344,28440.546875,6301.91748046875,536.680419921875,99,393.699432373047,112096.3984375,2576.47778320312,6,8,2,4,1637.2109375,2387.38989257812,3277.84301757812,1984.9208984375,0,0,0,0,5.5427360534668,57.5233268737793,74.9617691040039,63.6945724487305,59.2324028015137,80.3694305419922,4.90719699859619,12.975604057312,16.830265045166,8.56518840789795,0.459509283304214,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.91495776176453,10000,0,229
