"","Var1","Var2","value","set","nbins"
"1","Q1","none",587,"train_A",8
"2","Q2","none",105,"train_A",8
"3","Q3","none",7,"train_A",8
"4","Q4","none",183,"train_A",8
"5","Q1","rand",587,"train_A",8
"6","Q2","rand",105,"train_A",8
"7","Q3","rand",7,"train_A",8
"8","Q4","rand",183,"train_A",8
"9","Q1","env",469,"train_A",8
"10","Q2","env",90,"train_A",8
"11","Q3","env",5,"train_A",8
"12","Q4","env",141,"train_A",8
"13","Q1","none",494,"pseudoabs_train_A",8
"14","Q2","none",96,"pseudoabs_train_A",8
"15","Q3","none",7,"pseudoabs_train_A",8
"16","Q4","none",163,"pseudoabs_train_A",8
"17","Q1","rand",494,"pseudoabs_train_A",8
"18","Q2","rand",96,"pseudoabs_train_A",8
"19","Q3","rand",7,"pseudoabs_train_A",8
"20","Q4","rand",163,"pseudoabs_train_A",8
"21","Q1","env",442,"pseudoabs_train_A",8
"22","Q2","env",92,"pseudoabs_train_A",8
"23","Q3","env",6,"pseudoabs_train_A",8
"24","Q4","env",160,"pseudoabs_train_A",8
"25","Q1","none",1595,"train_B",8
"26","Q2","none",725,"train_B",8
"27","Q3","none",360,"train_B",8
"28","Q4","none",956,"train_B",8
"29","Q1","rand",1000,"train_B",8
"30","Q2","rand",725,"train_B",8
"31","Q3","rand",360,"train_B",8
"32","Q4","rand",956,"train_B",8
"33","Q1","env",874,"train_B",8
"34","Q2","env",436,"train_B",8
"35","Q3","env",174,"train_B",8
"36","Q4","env",514,"train_B",8
"37","Q1","none",1138,"pseudoabs_train_B",8
"38","Q2","none",573,"pseudoabs_train_B",8
"39","Q3","none",306,"pseudoabs_train_B",8
"40","Q4","none",771,"pseudoabs_train_B",8
"41","Q1","rand",1000,"pseudoabs_train_B",8
"42","Q2","rand",573,"pseudoabs_train_B",8
"43","Q3","rand",306,"pseudoabs_train_B",8
"44","Q4","rand",771,"pseudoabs_train_B",8
"45","Q1","env",925,"pseudoabs_train_B",8
"46","Q2","env",488,"pseudoabs_train_B",8
"47","Q3","env",280,"pseudoabs_train_B",8
"48","Q4","env",680,"pseudoabs_train_B",8
