"anatinae","anserinae","ardeidae","arenaria_calidris","around_surf","aythyini","below_surf","cong","host_dist","laridae","migr","plant","scav","species_richness","vend","chicken_density_2010","duck_density_2010","elevation_diff","elevation_max","elevation_min","elevation_mode","isotherm_mean_q1","isotherm_mean_q2","isotherm_mean_q3","isotherm_mean_q4","isotherm_midday_days_below1_q1","isotherm_midday_days_below1_q2","isotherm_midday_days_below1_q3","isotherm_midday_days_below1_q4","mean_diff_fourth_quart","mean_prec_fourth_quart","mean_relative_humidity_q1","mean_relative_humidity_q2","mean_relative_humidity_q3","mean_relative_humidity_q4","mean_temp_q1","mean_temp_q2","mean_temp_q3","mean_temp_q4","ndvi_fourth_quart_2022","Water_bodies","Evergreen_Needleleaf_Forests","Evergreen_Broadleaf_Forests","Deciduous_Needleleaf_Forests","Deciduous_Broadleaf_Forests","Mixed_Forests","Closed_Shrublands","Open_Shrublands","Woody_Savannas","Savannas","Grasslands","Permanent_Wetlands","Croplands","Urban_and_Built.up_Lands","Cropland.Natural_Vegetation_Mosaics","Non.Vegetated_Lands","Unclassified","dist_to_coast_km","dist_to_water","y"
47.9591064453125,0.0044962759129703,56.9614067077637,0.369509309530258,161.240463256836,6.45017051696777,47.9670906066895,929.228698730469,2064.03735351562,71.4834671020508,3822.6201171875,421.452423095703,110.778816223145,89,128.706619262695,696.796081542969,248.178131103516,59,253,194,233,2532.59301757812,3416.93310546875,4359.03466796875,3209.7490234375,0,0,0,0,10.7715492248535,73.987548828125,57.5274429321289,41.4911460876465,36.0735893249512,65.3835144042969,10.5681648254395,17.3744678497314,24.0605068206787,14.015118598938,0.589613258838654,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,78.8842926025391,40000,0
2.87599158287048,0,0.924874842166901,0,3.70795178413391,0,1.63390505313873,37.1176452636719,1041.50354003906,0,2083.02099609375,130.798736572266,34.268856048584,63,54.7069931030273,24018.265625,5.5360746383667,638,1356,718,851,1741.57531738281,2497.67333984375,3560.34692382812,2289.71044921875,0,0,0,0,8.17023277282715,162.171875,66.923828125,59.0311660766602,46.6005363464355,75.8999710083008,5.2309627532959,12.5390529632568,18.7586765289307,8.63508892059326,0.651597917079926,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,73.6698837280273,58309.51953125,0
38.9828300476074,18.2768840789795,10.9340467453003,0.571224510669708,52.9144706726074,2.20602917671204,22.3935279846191,196.099029541016,1342.79943847656,25.5196533203125,1720.38098144531,185.589508056641,53.2185516357422,76,74.9378128051758,9830.9365234375,7.88241767883301,371,606,235,280,663.330322265625,2201.421875,3029.18701171875,1718.53186035156,6,0,0,9,7.63247919082642,38.5139503479004,59.5274810791016,54.426326751709,60.3366584777832,74.6405181884766,-0.00274399924091995,15.9518089294434,18.6890144348145,5.88681507110596,0.462455183267593,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,504.000396728516,101980.390625,0
60.2243499755859,4.8543062210083,3.52887344360352,0,102.56844329834,26.8597583770752,58.8315467834473,223.746475219727,1434.86254882812,67.8618621826172,1361.16613769531,169.849563598633,65.7808151245117,59,56.8723182678223,42002.48046875,457.265991210938,119,369,250,295,645.616271972656,2196.27368164062,3073.8193359375,1733.69421386719,10,2,0,10,7.52504825592041,36.6393089294434,62.8927803039551,55.2841110229492,61.1017875671387,75.4126892089844,-0.44710099697113,15.9736185073853,18.6217727661133,5.58138751983643,0.438638269901276,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,425.008056640625,108166.5390625,0
62.6390609741211,46.1722259521484,1.68924534320831,0.00273288786411285,323.248931884766,31.0794353485107,187.021148681641,939.257507324219,5069.61572265625,608.884826660156,6016.9697265625,886.702819824219,244.776733398438,71,189.827026367188,42962.2734375,51.1847114562988,154,260,106,178,1663.47497558594,2420.22265625,3332.9443359375,1952.60485839844,0,0,0,1,5.80621528625488,72.2274627685547,75.5189208984375,59.6186332702637,55.7267074584961,81.649528503418,4.92680931091309,13.0513124465942,17.0452365875244,8.42052841186523,0.675507545471191,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,41.997974395752,101980.390625,0
123.577430725098,52.0590476989746,56.7751007080078,22.7508983612061,1438.63073730469,0.346709311008453,249.753936767578,3308.18237304688,4118.86962890625,686.131286621094,6413.18994140625,789.826782226562,90.0347518920898,106,241.896194458008,37962.02734375,720.278625488281,215,213,-2,1,2699.55444335938,3520.25952148438,4484.953125,3346.6845703125,0,0,0,0,8.35922050476074,90.4512252807617,60.9301567077637,49.6910171508789,47.3912925720215,73.064826965332,11.8716077804565,17.5456199645996,23.0129547119141,15.1224899291992,0.464632034301758,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.73125410079956,14142.1357421875,0
13.9946146011353,0,5.82224464416504,0,28.4402732849121,0,16.8747062683105,289.505676269531,1891.01794433594,16.4497852325439,3080.04174804688,258.121856689453,211.012710571289,79,61.0990600585938,773.723205566406,0.828152477741241,245,469,224,265,2258.50634765625,3123.44116210938,4100.3291015625,2883.89770507812,0,0,0,0,9.59773254394531,62.0829658508301,60.2812232971191,39.5136566162109,28.9758930206299,66.5707473754883,9.37124156951904,17.8323020935059,25.1796340942383,12.7606754302979,0.527350068092346,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,247.591156005859,0,0
10.2057657241821,3.49728631973267,1.19886946678162,0.320004016160965,57.993579864502,36.6993026733398,55.0300254821777,139.360473632812,552.783874511719,23.5678215026855,837.797973632812,118.288299560547,16.4622478485107,68,25.380033493042,63328.4453125,30.5815906524658,2102,2404,302,1334,575.528686523438,1764.21447753906,2455.83056640625,1181.78881835938,8,0,0,4,8.09377098083496,94.5263290405273,47.1678504943848,57.671199798584,55.0253753662109,64.1061401367188,-0.389275074005127,11.138165473938,15.6773681640625,4.30861663818359,0.461660355329514,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208.147933959961,22360.6796875,0
15.9673137664795,0.0661060959100723,23.4379215240479,0,41.4757118225098,1.11307072639465,19.2993202209473,387.570190429688,1892.22094726562,11.3219375610352,2876.34106445312,372.377288818359,100.949508666992,78,85.2685775756836,417.464599609375,238.41130065918,91,240,149,190,2646.61206054688,3564.13452148438,4465.62109375,3345.74755859375,0,0,0,0,10.0059823989868,73.9767074584961,58.2824096679688,40.4454383850098,37.928092956543,64.1642303466797,10.9807586669922,17.6484317779541,24.4129066467285,14.7180490493774,0.394243150949478,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,66.3896026611328,78102.5,0
82.9707412719727,32.1885566711426,3.32155871391296,4.70696353912354,224.49560546875,47.2245674133301,225.09716796875,598.9013671875,1112.90966796875,198.62873840332,1196.64147949219,203.652786254883,69.2392883300781,80,49.0764503479004,14516.4912109375,24.5002155303955,25,24,-1,-1,524.002563476562,1899.46337890625,2926.80224609375,1209.56127929688,17,0,0,31,4.21039962768555,45.1288681030273,75.0214920043945,61.6052131652832,66.3883209228516,83.8764877319336,-3.52370929718018,13.4082336425781,18.0320301055908,3.50926637649536,0.24330161511898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.2604775428772,0,0
