"","Var1","Var2","value","set","nbins"
"1","Q1","none",589,"train_A",4
"2","Q2","none",107,"train_A",4
"3","Q3","none",7,"train_A",4
"4","Q4","none",183,"train_A",4
"5","Q1","rand",589,"train_A",4
"6","Q2","rand",107,"train_A",4
"7","Q3","rand",7,"train_A",4
"8","Q4","rand",183,"train_A",4
"9","Q1","env",287,"train_A",4
"10","Q2","env",81,"train_A",4
"11","Q3","env",5,"train_A",4
"12","Q4","env",100,"train_A",4
"13","Q1","none",548,"pseudoabs_train_A",4
"14","Q2","none",104,"pseudoabs_train_A",4
"15","Q3","none",7,"pseudoabs_train_A",4
"16","Q4","none",177,"pseudoabs_train_A",4
"17","Q1","rand",548,"pseudoabs_train_A",4
"18","Q2","rand",104,"pseudoabs_train_A",4
"19","Q3","rand",7,"pseudoabs_train_A",4
"20","Q4","rand",177,"pseudoabs_train_A",4
"21","Q1","env",329,"pseudoabs_train_A",4
"22","Q2","env",92,"pseudoabs_train_A",4
"23","Q3","env",7,"pseudoabs_train_A",4
"24","Q4","env",143,"pseudoabs_train_A",4
"25","Q1","none",1595,"train_B",4
"26","Q2","none",415,"train_B",4
"27","Q3","none",360,"train_B",4
"28","Q4","none",957,"train_B",4
"29","Q1","rand",1000,"train_B",4
"30","Q2","rand",415,"train_B",4
"31","Q3","rand",360,"train_B",4
"32","Q4","rand",957,"train_B",4
"33","Q1","env",370,"train_B",4
"34","Q2","env",158,"train_B",4
"35","Q3","env",101,"train_B",4
"36","Q4","env",208,"train_B",4
"37","Q1","none",1380,"pseudoabs_train_B",4
"38","Q2","none",384,"pseudoabs_train_B",4
"39","Q3","none",339,"pseudoabs_train_B",4
"40","Q4","none",885,"pseudoabs_train_B",4
"41","Q1","rand",1000,"pseudoabs_train_B",4
"42","Q2","rand",384,"pseudoabs_train_B",4
"43","Q3","rand",339,"pseudoabs_train_B",4
"44","Q4","rand",885,"pseudoabs_train_B",4
"45","Q1","env",635,"pseudoabs_train_B",4
"46","Q2","env",263,"pseudoabs_train_B",4
"47","Q3","env",244,"pseudoabs_train_B",4
"48","Q4","env",468,"pseudoabs_train_B",4
