"","set","nbins","Q1","Q2","Q3","Q4"
"1","train_B","N",1595,725,360,956
"2","pseudoabs_train_B","N",1138,573,306,771
"3","train_B","10",1010,502,189,615
"4","pseudoabs_train_B","10",998,523,287,717
"5","train_B","8",874,436,174,514
"6","pseudoabs_train_B","8",925,488,280,680
"7","train_B","6",635,360,142,380
"8","pseudoabs_train_B","6",765,445,253,574
"9","train_B","4",370,247,101,208
"10","pseudoabs_train_B","4",529,292,204,392
