"observation.date","Species","Country","Serotype","source","flu","geometry","X","Y","serotype_HN"
2021-01-08,"Anserinae (unidentified)","Germany","H5N8","woah",1,"c(4296579.11937355, 3389100.82561103)",4296579.11937355,3389100.82561103,"H5N8"
2020-12-15,"Anserinae (unidentified)","Germany","H5N8","woah",1,"c(4254355.90999839, 3441714.46450209)",4254355.90999839,3441714.46450209,"H5N8"
2021-01-08,"Cygnus cygnus","Romania","H5","woah",1,"c(5798252.09099634, 2524528.0482778)",5798252.09099634,2524528.0482778,"H5"
2021-01-13,"Cygnus cygnus","Romania","H5","woah",1,"c(5798249.98499716, 2524538.54134509)",5798249.98499716,2524538.54134509,"H5"
2021-01-08,"Cygnus olor","United Kingdom","H5N1","woah",1,"c(3446951.44729114, 3570281.43142365)",3446951.44729114,3570281.43142365,"H5N1"
2021-01-21,"Buteo buteo","Italy","H5N8","woah",1,"c(5027174.93938884, 1960873.20382013)",5027174.93938884,1960873.20382013,"H5N8"
2021-01-19,"Cygnus cygnus","Romania","H5N5","woah",1,"c(5802403.57942318, 2510163.49237482)",5802403.57942318,2510163.49237482,"H5N5"
2021-01-21,"Cygnus cygnus","Romania","H5N5","woah",1,"c(5802410.47402376, 2510139.86414719)",5802410.47402376,2510139.86414719,"H5N5"
2021-01-18,"Numenius arquata","France","H5N3","woah",1,"c(3474880.10230714, 2921010.6723279)",3474880.10230714,2921010.6723279,"H5N3"
2021-01-20,"Anatidae (incognita)","Germany","H5N8","woah",1,"c(4540965.86093083, 3457975.67524908)",4540965.86093083,3457975.67524908,"H5N8"
2021-01-07,"Cygnus (incognita)","Germany","H5N4","woah",1,"c(4258616.97804717, 2727725.83583773)",4258616.97804717,2727725.83583773,"H5N4"
2021-01-26,"Cygnus olor","Norway","H5N8","woah",1,"c(4063517.08765016, 4150360.63063902)",4063517.08765016,4150360.63063902,"H5N8"
2021-01-25,"Cygnus cygnus","Romania","H5N5","woah",1,"c(5802423.09221415, 2510163.09578483)",5802423.09221415,2510163.09578483,"H5N5"
2020-12-18,"Charadriidae (incognita)","Germany","H5N3","woah",1,"c(4244775.304547, 3486192.2477348)",4244775.304547,3486192.2477348,"H5N3"
2020-12-04,"Anatidae (incognita)","Germany","H5N8","woah",1,"c(4243538.41209664, 3506647.19585802)",4243538.41209664,3506647.19585802,"H5N8"
2021-01-25,"Accipitridae (incognita)","Germany","H5N8","woah",1,"c(4392391.0956332, 3483686.04450717)",4392391.0956332,3483686.04450717,"H5N8"
2021-02-03,"Phasianidae (incognita)","Germany","H5N8","woah",1,"c(4519798.20523486, 3448974.45446711)",4519798.20523486,3448974.45446711,"H5N8"
2021-02-01,"Anserinae (unidentified)","Germany","H5N8","woah",1,"c(4508547.06501584, 3478497.80209311)",4508547.06501584,3478497.80209311,"H5N8"
2020-11-06,"Laridae (incognita)","Germany","H5N8","woah",1,"c(4238934.73341157, 3465544.06269316)",4238934.73341157,3465544.06269316,"H5N8"
2021-01-18,"Cygnus (incognita)","Germany","H5N8","woah",1,"c(4244183.85716926, 3506636.51696308)",4244183.85716926,3506636.51696308,"H5N8"
2021-01-26,"Anser anser","Spain","H5N8","woah",1,"c(3030693.07143894, 2215563.75239586)",3030693.07143894,2215563.75239586,"H5N8"
2021-02-01,"Larus michahellis","Switzerland","H5N4","woah",1,"c(4219839.7777299, 2732208.00499256)",4219839.7777299,2732208.00499256,"H5N4"
2020-11-23,"Cygnus olor","United Kingdom","H5N8","woah",1,"c(3671791.57995629, 3409535.86405811)",3671791.57995629,3409535.86405811,"H5N8"
2021-01-21,"Falco peregrinus","United Kingdom","H5N8","woah",1,"c(3480115.22416475, 3510900.20138272)",3480115.22416475,3510900.20138272,"H5N8"
2021-02-09,"Cygnus olor","Latvia","H5N8","woah",1,"c(5156091.77182924, 3845025.80288719)",5156091.77182924,3845025.80288719,"H5N8"
2021-01-30,"Cygnus cygnus","Denmark","H5N8","woah",1,"c(4311620.39860534, 3724911.226009)",4311620.39860534,3724911.226009,"H5N8"
2021-01-27,"Cygnus olor","Denmark","H5N8","woah",1,"c(4416092.78063822, 3566965.77506588)",4416092.78063822,3566965.77506588,"H5N8"
2021-02-09,"Cygnus olor","Estonia","H5N8","woah",1,"c(5148930.76453025, 4124803.7364459)",5148930.76453025,4124803.7364459,"H5N8"
2021-01-31,"Aythya fuligula","Poland","H5N5","woah",1,"c(4714903.49190559, 3478261.90526591)",4714903.49190559,3478261.90526591,"H5N5"
