"","observation.date","Species","Country","Serotype","source","flu","geometry","X","Y"
"39",2023-07-15,"Canada Goose:branta Canadensis(Anatidae)","Finland","H5N1 HPAI","fao",1,c(5162525.52535003, 4304215.30489659),5162525.52535003,4304215.30489659
"40",2023-07-15,"Lesser Black-Backed Gull:larus Fuscus(Laridae)","Finland","H5N1 HPAI","fao",1,c(4941365.03851536, 4239036.03882389),4941365.03851536,4239036.03882389
"41",2023-07-14,"Fox","Finland","H5N1 HPAI","fao",1,c(4999203.5777277, 4563008.66471518),4999203.5777277,4563008.66471518
"42",2023-07-14,"Fox","Finland","H5N1 HPAI","fao",1,c(4999191.36632456, 4562820.20857864),4999191.36632456,4562820.20857864
"43",2023-07-14,"Fox","Finland","H5N1 HPAI","fao",1,c(4999133.93027885, 4562917.70019255),4999133.93027885,4562917.70019255
"46",2023-07-14,"Common Tern (Sterna Hirundo)","Italy","H5N1 HPAI","fao",1,c(4463209.29199593, 2430345.01224347),4463209.29199593,2430345.01224347
"47",2023-07-13,"Laridae (Unidentified):Laridae (Incognita)(Laridae)","Germany","H5N1 HPAI","fao",1,c(4235456.75688047, 3417744.89828584),4235456.75688047,3417744.89828584
"48",2023-07-13,"Common Tern (Sterna Hirundo)","Italy","H5N1 HPAI","fao",1,c(4501880.38073396, 2380893.21242122),4501880.38073396,2380893.21242122
"49",2023-07-13,"Common Tern (Sterna Hirundo)","Italy","H5N1 HPAI","fao",1,c(4450308.69024259, 2416251.04415413),4450308.69024259,2416251.04415413
"50",2023-07-12,"Common Murre (Uria Aalge) ","Isle of Man","H5N1 HPAI","fao",1,c(3362535.26029034, 3539732.96602778),3362535.26029034,3539732.96602778
"51",2023-07-12,"Sandwich Tern","Ireland","H5N1 HPAI","fao",1,c(3211315.696133, 3358180.02237431),3211315.696133,3358180.02237431
"53",2023-07-11,"White Stork:ciconia Ciconia(Ciconiidae)","Hungary","H5N1 HPAI","fao",1,c(5136076.36765473, 2815449.65329499),5136076.36765473,2815449.65329499
"55",2023-07-11,"Peregrin Falcon:falco Peregrinus(Falconidae)","Belgium","H5N1 HPAI","fao",1,c(3967054.14776384, 3134893.94725211),3967054.14776384,3134893.94725211
"57",2023-07-09,"Black Headed Gull (Chroicocephalus Ridibundus)","Poland","H5N1 HPAI","fao",1,c(5007038.95136471, 3457206.52190502),5007038.95136471,3457206.52190502
"58",2023-07-08,"Red Fox","Latvia","H5N1 HPAI","fao",1,c(5291088.81892788, 3819592.82187848),5291088.81892788,3819592.82187848
"59",2023-07-08,"Black Headed Gull (Chroicocephalus Ridibundus)","Belgium","H5N1 HPAI","fao",1,c(4028707.78554415, 3123087.92586321),4028707.78554415,3123087.92586321
"60",2023-07-07,"White Stork:ciconia Ciconia(Ciconiidae)","Poland","H5N1 HPAI","fao",1,c(4991362.85929915, 3032850.75265631),4991362.85929915,3032850.75265631
"61",2023-07-07,"Peregrin Falcon:falco Peregrinus(Falconidae)","Belgium","H5N1 HPAI","fao",1,c(4023233.60476201, 3114073.65614478),4023233.60476201,3114073.65614478
"62",2023-07-07,"Laridae (Unidentified):Laridae (Incognita)(Laridae)","Germany","H5N1 HPAI","fao",1,c(4080512.08691582, 3182356.86900088),4080512.08691582,3182356.86900088
"63",2023-07-07,"Black-Legged Kittiwake (Rissa Tridactyla):Laridae-Charadriiformes","U.K. of Great Britain and Northern Ireland","H5N1 HPAI","fao",1,c(3306977.5030166, 3670694.32329649),3306977.5030166,3670694.32329649
"64",2023-07-07,"Common Tern (Sterna Hirundo)","U.K. of Great Britain and Northern Ireland","H5N1 HPAI","fao",1,c(3306977.5030166, 3670694.32329649),3306977.5030166,3670694.32329649
"65",2023-07-07,"Laridae (Unidentified):Laridae (Incognita)(Laridae)","Germany","H5N1 HPAI","fao",1,c(4219870.59109198, 3550923.65567431),4219870.59109198,3550923.65567431
"66",2023-07-07,"Sandwich Tern","Italy","H5N1 HPAI","fao",1,c(4506179.21044543, 2366855.01416217),4506179.21044543,2366855.01416217
"67",2023-07-07,"Laridae (Unidentified):Laridae (Incognita)(Laridae)","Germany","H5N1 HPAI","fao",1,c(4254628.26292935, 3421345.28645944),4254628.26292935,3421345.28645944
"68",2023-07-07,"Laridae (Unidentified):Laridae (Incognita)(Laridae)","Germany","H5N1 HPAI","fao",1,c(4289474.52367886, 3484966.16294126),4289474.52367886,3484966.16294126
"69",2023-07-06,"European Turtle Dove","Hungary","H5N1 HPAI","fao",1,c(5075767.45631887, 2661458.69475299),5075767.45631887,2661458.69475299
