"Var1","Freq"
"H10N7 LPAI",1
"H5 HPAI",104
"H5 LPAI",2
"H5N1 HPAI",5822
"H5N2 HPAI",2
"H5N2 LPAI",2
"H5N3 HPAI",15
"H5N4 HPAI",14
"H5N5 HPAI",86
"H5N6 HPAI",103
"H5N8 HPAI",2348
"H5N8 LPAI",7
"H5N9 HPAI",3
"H7 HPAI",1
"H7 LPAI",1
"H7N7 HPAI",2
"HPAI",13
"LPAI",5
